generation,N_shifts,logPrior,logLik,eventRate,acceptRate
156300,4,10.2418,-452.605,2.88637,0.433333
156400,4,10.2317,-451.391,3.08617,0.435
156500,4,11.7338,-452.166,1.37137,0.43
156600,3,6.86423,-450.624,3.15359,0.448333
156700,3,7.94326,-451.922,2.57283,0.442857
156800,3,11.1654,-447.628,1.64678,0.4525
156900,3,8.47253,-450.642,2.1884,0.451111
157000,4,12.3339,-458.584,2.97057,0.4505
157100,4,14.2841,-455.616,1.92643,0.43
157200,4,14.644,-454.158,1.61467,0.46
157300,4,11.3419,-452.5,3.07572,0.483333
157400,4,13.3329,-451.387,1.62617,0.4875
157500,4,13.9048,-455.068,0.34769,0.472
157600,4,11.724,-455.648,2.54677,0.468333
157700,4,13.224,-454.083,0.899332,0.452857
157800,4,9.68055,-453.565,1.52315,0.4425
157900,4,11.8476,-457.255,2.13819,0.443333
158000,3,9.50733,-455.819,1.03153,0.439
158100,3,9.18723,-455.857,1.51977,0.46
158200,3,9.77325,-455.245,1.27606,0.42
158300,3,9.21502,-453.073,1.84131,0.41
158400,4,9.94183,-453.664,1.32772,0.415
158500,3,8.82934,-452.207,1.21472,0.428
158600,3,11.5063,-454.349,1.34836,0.428333
158700,3,11.0471,-453.083,1.694,0.428571
158800,3,9.65453,-456.849,0.975882,0.44
158900,3,9.89426,-458.166,1.23235,0.445556
159000,4,12.092,-457.206,3.59586,0.451
159100,4,13.8055,-455.279,1.38337,0.53
159200,4,10.4499,-456.687,1.94044,0.51
159300,4,9.79578,-456.825,2.00607,0.49
159400,4,13.9199,-456.391,3.06868,0.4775
159500,4,12.6257,-454.673,4.49148,0.486
159600,5,18.6423,-455.059,1.28969,0.488333
159700,6,13.8056,-457.122,4.84296,0.485714
159800,5,15.8927,-455.774,3.00329,0.48375
159900,5,16.9323,-456.393,3.1914,0.478889
160000,7,19.5785,-455.143,2.92077,0.488
160100,8,22.3897,-456.789,3.97832,0.6
160200,7,23.7865,-456.948,3.89978,0.505
160300,6,19.9606,-457.726,2.75111,0.51
160400,6,18.9104,-461.133,2.34963,0.53
160500,4,12.4766,-459.577,3.58637,0.518
160600,3,9.41671,-458.329,3.95796,0.501667
160700,3,12.675,-457.26,1.10991,0.501429
160800,3,11.8617,-454.386,2.37609,0.49375
160900,3,12.9158,-453.248,2.01107,0.483333
161000,3,7.78527,-458.97,3.03457,0.458235
161100,3,12.7161,-455.563,1.43506,0.46
161200,3,12.4221,-455.963,1.82161,0.445
161300,3,10.1769,-455.831,1.98428,0.443333
161400,3,7.32423,-450.951,3.08145,0.44
161500,3,10.1203,-449.852,0.935257,0.428
161600,3,6.17158,-456.896,3.52591,0.426667
161700,3,9.12955,-454.402,1.05896,0.427143
161800,3,10.9116,-452.233,1.13786,0.4225
161900,3,9.15953,-452.27,2.57641,0.422222
162000,4,13.3558,-455.837,1.09675,0.422
162100,3,8.87743,-451.621,2.57492,0.41
162200,3,10.2197,-450.302,1.41173,0.365
162300,3,10.872,-457.189,3.4097,0.366667
162400,3,10.6309,-457.178,1.86384,0.385
162500,3,10.5688,-455.498,0.950733,0.408
162600,3,8.01575,-458.679,2.82339,0.411667
162700,3,8.87992,-457.467,2.00756,0.43
162800,3,10.1571,-455.879,1.17953,0.43
162900,3,9.3924,-453.936,2.36748,0.434444
163000,3,7.79522,-458.13,2.00448,0.444273
163100,4,12.4006,-460.75,2.51299,0.51
163200,4,14.1776,-460.162,1.03427,0.475
163300,5,13.2237,-463.491,1.78044,0.483333
163400,6,16.2313,-467.408,4.41743,0.495
163500,6,16.9092,-467.534,1.23104,0.496
163600,6,13.4261,-462.496,4.77478,0.495
163700,5,12.318,-464.333,4.56532,0.487143
163800,5,12.3116,-460.358,4.12674,0.4925
163900,4,10.6694,-460.224,4.43869,0.495556
164000,4,16.1734,-468.545,1.44666,0.4635
164100,4,15.2829,-468.452,2.61748,0.44
164200,4,14.3166,-470.413,1.00349,0.445
164300,4,11.262,-468.417,1.77902,0.45
164400,4,11.2566,-470.514,2.24116,0.4675
164500,4,10.302,-468.956,2.4214,0.482
164600,4,11.776,-471.866,1.08762,0.486667
164700,3,7.85716,-465.47,1.94793,0.485714
164800,3,9.37211,-459.015,1.26233,0.48
164900,3,10.248,-456.91,1.38027,0.473333
165000,5,13.9743,-453.153,5.60375,0.463444
165100,5,18.0655,-455.956,2.05706,0.48
165200,4,15.9432,-454.713,1.28475,0.49
165300,4,15.3798,-454.636,1.40988,0.496667
165400,3,8.45635,-456.314,2.98571,0.4975
165500,3,10.5393,-459.464,1.19898,0.486
165600,3,11.3155,-463.242,1.91803,0.495
165700,3,9.58688,-461.852,1.58249,0.491429
165800,3,11.1553,-459.956,1.63308,0.4925
165900,3,8.05587,-459.234,5.67722,0.481111
166000,3,13.1075,-460.899,1.15837,0.47
166100,3,11.2197,-460.258,1.76452,0.44
166200,3,10.8094,-459.13,2.44461,0.47
166300,3,10.2534,-461.484,2.28495,0.46
166400,3,12.0341,-460.715,0.321167,0.47
166500,3,10.5533,-463.434,2.61605,0.468
166600,3,12.8318,-461.907,0.92217,0.456667
166700,3,12.108,-463.402,1.09605,0.451429
166800,3,12.5019,-457.416,1.05943,0.45375
166900,3,11.9716,-456.258,0.867431,0.453333
167000,3,11.843,-463.703,1.43802,0.47825
167100,3,11.6494,-462.137,0.99705,0.42
167200,3,11.2644,-461.967,1.90213,0.41
167300,3,11.2809,-466.136,1.58917,0.436667
167400,3,11.5947,-463.35,0.903302,0.44
167500,3,9.35259,-461.908,1.95747,0.432
167600,3,-0.0481602,-460.797,5.14082,0.46
167700,3,5.50168,-460.472,1.51227,0.46
167800,3,10.7331,-460.23,1.10295,0.47375
167900,3,12.193,-460.425,1.50733,0.476667
168000,3,12.3674,-461.855,0.780318,0.467
168100,3,10.8535,-459.895,1.11074,0.45
168200,3,12.9566,-460.405,0.822775,0.425
168300,3,12.9665,-460.66,0.887095,0.446667
168400,3,12.81,-465.809,2.0131,0.4625
168500,3,12.69,-463.588,1.49383,0.466
168600,3,12.8111,-464.039,1.04779,0.463333
168700,3,10.8023,-464.128,3.14598,0.448571
168800,3,10.4912,-461.563,4.4103,0.45625
168900,3,12.8832,-459.428,0.708231,0.453333
169000,3,10.1773,-459.647,2.97263,0.449
169100,3,9.28955,-459.354,2.82382,0.35
169200,3,11.7891,-458.837,1.50846,0.405
169300,3,11.6229,-462.223,2.35752,0.426667
169400,3,12.1788,-460.932,1.81616,0.45
169500,3,10.7734,-467.701,1.23764,0.464
169600,3,13.3281,-465.519,1.08454,0.48
169700,2,9.82813,-463.51,0.866394,0.48
169800,2,7.01228,-470.901,3.51225,0.48125
169900,3,10.6826,-467.226,3.85021,0.483333
170000,4,13.4953,-470.321,2.0817,0.473
170100,4,17.5348,-465.444,1.43884,0.52
170200,4,13.9359,-466.66,2.30543,0.505
170300,4,12.2908,-465.832,1.44277,0.493333
170400,3,11.3359,-465.438,1.00352,0.49
170500,3,10.1367,-465.602,2.33934,0.492
170600,4,7.64068,-466.198,3.04526,0.501667
170700,4,12.5017,-465.369,2.77808,0.492857
170800,3,11.5831,-463.406,1.37779,0.4825
170900,2,9.0583,-465.806,0.872906,0.477778
171000,2,8.34381,-469.209,0.893098,0.474
171100,2,8.3275,-468.842,1.75863,0.3
171200,2,8.17387,-465.63,1.83439,0.37
171300,2,8.9782,-464.745,1.31348,0.39
171400,2,9.68344,-462.797,1.52811,0.3925
171500,2,9.92544,-462.081,1.09184,0.408
171600,2,9.58683,-463.421,1.52147,0.418333
171700,2,7.56411,-469.637,3.11098,0.427143
171800,2,8.9254,-469.291,1.10385,0.42
171900,2,7.83557,-470.2,2.96953,0.412222
172000,4,13.9592,-459.482,4.07296,0.4689
172100,5,19.5447,-457.901,2.47366,0.48
172200,4,16.6086,-456.729,2.10376,0.505
172300,4,17.7867,-456.235,0.685934,0.5
172400,4,17.8104,-462.013,1.29053,0.515
172500,4,13.5065,-461.118,3.95433,0.512
172600,5,18.1268,-459.703,1.59084,0.506667
172700,5,18.405,-459.53,2.52626,0.501429
172800,5,18.9407,-459.815,2.45903,0.5125
172900,4,15.1411,-458.362,3.73523,0.51
173000,3,12.587,-455.927,1.25312,0.513
173100,3,12.5926,-456.65,2.37124,0.45
173200,4,11.1536,-460.561,3.34774,0.47
173300,4,13.7817,-463.44,3.734,0.503333
173400,4,14.0641,-461.872,3.89785,0.5025
173500,4,16.3088,-460.843,1.90816,0.492
173600,4,14.8508,-459.266,2.50074,0.488333
173700,4,14.029,-462.146,2.89475,0.467143
173800,3,12.4344,-459.976,2.64305,0.47625
173900,3,13.8716,-457.831,1.40527,0.463333
174000,3,13.6004,-466.454,1.52751,0.435333
174100,2,8.62033,-464.898,1.95741,0.48
174200,2,8.75565,-462.356,1.50968,0.44
174300,2,8.40492,-466.979,1.92564,0.44
174400,2,9.42698,-470.55,1.04573,0.415
174500,3,8.40735,-466.873,2.80979,0.43
174600,3,9.10873,-465.307,2.7475,0.426667
174700,3,10.71,-468.14,0.696507,0.415714
174800,3,10.9413,-466.18,1.12671,0.4175
174900,3,10.7153,-463.078,0.433813,0.422222
175000,3,9.14033,-456.734,1.84754,0.437182
175100,3,8.41959,-455.191,2.7632,0.32
175200,3,9.31862,-455.011,1.29394,0.38
175300,3,8.80706,-457.431,0.744692,0.393333
175400,3,10.522,-451.521,1.19068,0.405
175500,3,10.6379,-452.65,2.13511,0.386
175600,3,9.34625,-454.989,2.01241,0.386667
175700,3,9.10311,-454.019,2.15309,0.384286
175800,3,10.4497,-455.62,2.41991,0.3925
175900,3,11.0634,-454.039,1.18966,0.397778
176000,3,10.2929,-456.573,1.1083,0.406
176100,3,9.61539,-457.262,2.83881,0.45
176200,3,11.441,-455.147,0.565374,0.41
176300,4,7.36219,-455.77,3.96122,0.433333
176400,4,9.50966,-461.308,2.07758,0.44
176500,3,9.64143,-457.746,1.33983,0.444
176600,3,10.3963,-457.349,0.866309,0.441667
176700,3,5.40085,-454.213,4.18946,0.441429
176800,3,9.9836,-454.436,1.30633,0.43625
176900,3,10.2436,-452.82,1.76491,0.428889
177000,3,11.2029,-455.131,1.37511,0.425
177100,3,9.5551,-454.431,1.63974,0.43
177200,3,10.8562,-453.222,1.14973,0.43
177300,3,11.2402,-458.957,0.808675,0.45
177400,3,10.4549,-457.373,2.74615,0.4425
177500,3,11.3614,-454.223,0.730719,0.43
177600,3,10.0431,-453.501,1.79983,0.421667
177700,3,9.5695,-458.743,2.46423,0.432857
177800,3,8.98158,-455.911,1.91017,0.42625
177900,4,12.5437,-452.605,2.73086,0.425556
178000,4,11.3305,-452.232,3.69596,0.422
178100,5,14.2253,-450.95,2.82307,0.44
178200,7,15.9401,-458.066,4.57407,0.45
178300,7,20.0694,-450.868,2.39069,0.47
178400,6,19.1751,-452.893,2.14656,0.49
178500,5,14.7772,-466.603,2.74183,0.496
178600,5,13.6795,-464.51,4.09946,0.486667
178700,4,15.0583,-466.217,0.84258,0.497143
178800,5,12.4774,-474.336,2.0634,0.5025
178900,5,13.1921,-466.894,2.94679,0.496667
179000,6,21.6578,-462.062,3.46209,0.501
179100,5,17.0849,-459.448,2.22425,0.44
179200,5,12.9953,-454.733,2.15933,0.425
179300,6,14.1131,-458.17,3.55293,0.426667
179400,6,9.25952,-453.343,4.90858,0.425
179500,6,8.01796,-453.686,3.40884,0.424
179600,5,11.9707,-453.748,2.58758,0.443333
179700,4,12.1978,-455.723,2.95814,0.451429
179800,4,11.5111,-456.039,4.00055,0.45
179900,4,14.1977,-456.094,2.33957,0.445556
180000,3,5.36869,-457.327,3.21253,0.452429
180100,3,7.7464,-457.141,1.08928,0.46
180200,3,8.2555,-456.924,0.906131,0.37
180300,3,9.00064,-460.129,0.663345,0.38
180400,3,7.22963,-458.711,3.07982,0.3925
180500,3,8.11525,-458.085,2.11382,0.41
180600,3,10.5838,-453.576,1.5657,0.4
180700,3,11.0329,-455.668,2.18564,0.404286
180800,3,12.8608,-455.47,0.319782,0.40375
180900,3,10.5347,-456.696,2.36844,0.402222
181000,3,11.0299,-451.75,2.73978,0.4605
181100,3,12.1444,-455.268,1.00723,0.45
181200,3,10.8867,-455.723,0.930641,0.43
181300,3,6.43468,-455.133,3.33733,0.44
181400,2,5.46526,-459.705,0.730325,0.42
181500,2,0.124099,-458.838,4.4778,0.43
181600,2,2.56846,-457.847,1.75583,0.421667
181700,2,7.97903,-460.856,0.80636,0.411429
181800,2,7.79623,-462.444,0.907491,0.41625
181900,2,7.49974,-460.849,1.30021,0.412222
182000,2,8.7329,-465.192,1.24122,0.415
182100,2,6.61299,-460.987,1.27001,0.44
182200,2,6.57363,-459.062,1.41032,0.43
182300,2,5.66289,-460.102,1.56887,0.426667
182400,2,5.86573,-463.697,0.801077,0.42
182500,2,6.02983,-461.507,1.1683,0.424
182600,2,6.3377,-463.854,0.407541,0.436667
182700,2,5.50673,-461.173,1.47514,0.43
182800,2,5.6294,-462.762,1.16929,0.4225
182900,2,5.19168,-461.735,1.09068,0.423333
183000,2,5.99828,-460.737,0.780213,0.413
183100,2,5.25811,-459.065,1.37021,0.44
183200,2,4.82714,-460.307,1.54986,0.405
183300,2,4.92715,-464.323,0.738072,0.413333
183400,3,5.60673,-466.329,2.70447,0.4175
183500,3,5.25423,-463.884,3.02779,0.416
183600,4,11.2989,-466.802,0.764093,0.423333
183700,5,10.9998,-471.418,2.07786,0.422857
183800,3,4.70309,-474.017,2.70188,0.43875
183900,3,3.75644,-467.691,4.03102,0.436667
184000,3,8.21337,-468.709,1.34585,0.437
184100,3,7.84912,-465.477,2.23758,0.5
184200,3,7.64626,-467.136,2.93816,0.465
184300,3,8.19433,-468.856,1.24505,0.476667
184400,3,7.33987,-467.27,0.529683,0.46
184500,3,1.57949,-467.258,3.42587,0.458
184600,3,2.11337,-467.494,2.05723,0.448333
184700,3,3.3315,-466.154,1.66779,0.441429
184800,2,3.38653,-467.07,1.27415,0.4425
184900,2,3.63252,-462.731,0.817436,0.437778
185000,4,8.41315,-456.649,5.19505,0.426526
185100,4,9.49488,-457.455,2.42553,0.34
185200,4,12.5089,-452.904,0.979029,0.395
185300,4,10.786,-454.698,2.75806,0.396667
185400,4,10.8168,-455.81,3.47926,0.3975
185500,4,9.94348,-454.595,5.29132,0.402
185600,4,13.7359,-451.92,1.46648,0.421667
185700,4,10.0955,-456.189,2.17986,0.432857
185800,5,16.471,-454.831,1.53562,0.4425
185900,5,16.3299,-456.179,3.46976,0.438889
186000,4,6.59773,-450.423,0.957124,0.422
186100,4,4.07272,-450.831,1.80367,0.44
186200,4,4.73052,-451.806,2.89432,0.42
186300,4,7.10795,-450.125,2.31293,0.456667
186400,3,9.28566,-456.469,1.71474,0.4625
186500,4,12.7663,-452.283,1.85705,0.448
186600,4,12.5796,-453.682,3.07246,0.451667
186700,4,15.1047,-451.899,1.66706,0.442857
186800,3,8.97668,-451.018,2.60098,0.445
186900,3,6.49147,-452.819,3.23607,0.453333
187000,3,10.1845,-461.33,1.50271,0.407333
187100,3,11.9525,-460.317,0.565712,0.45
187200,3,10.6953,-456.902,1.98659,0.42
187300,3,11.5659,-460.774,1.70777,0.396667
187400,3,9.59619,-464.626,3.44855,0.42
187500,3,9.46717,-461.775,2.94771,0.418
187600,3,10.2902,-462.419,2.08686,0.415
187700,3,6.46261,-462.729,4.97438,0.414286
187800,3,12.3946,-462.386,1.67478,0.41875
187900,3,12.6502,-459.877,1.72163,0.416667
188000,3,12.9123,-459.041,1.04678,0.411
188100,3,11.1481,-458.403,1.14773,0.39
188200,3,10.5234,-461.21,1.58189,0.42
188300,3,10.1453,-463.875,1.20593,0.396667
188400,3,11.7196,-463.411,1.53095,0.4125
188500,3,12.7165,-464.377,0.648913,0.444
188600,3,7.86797,-460.165,3.19782,0.45
188700,3,8.02261,-458.823,2.23152,0.457143
188800,3,10.9667,-459.573,0.826035,0.46375
188900,4,12.9328,-459.32,2.65556,0.468889
189000,4,12.1652,-460.203,2.91152,0.473
189100,4,13.3508,-461.786,1.93297,0.52
189200,3,11.1395,-460.027,3.12921,0.54
189300,4,14.4551,-462.092,1.33872,0.52
189400,6,6.50359,-464.389,5.9659,0.51
189500,5,13.5014,-463.215,3.43743,0.508
189600,5,16.4022,-461.799,1.49105,0.51
189700,5,13.7452,-459.679,3.85171,0.502857
189800,5,13.2715,-460.544,4.09561,0.485
189900,5,16.4841,-460.876,1.53743,0.487778
190000,5,17.8986,-455.435,3.44789,0.479
190100,5,16.7163,-456.444,4.5593,0.47
190200,5,16.3244,-460.193,1.67317,0.465
190300,5,12.9453,-456.299,4.94547,0.496667
190400,5,16.9644,-455.602,2.68264,0.5025
190500,5,14.7643,-454.604,3.89321,0.502
190600,4,13.2972,-455.305,4.10911,0.516667
190700,4,14.2611,-456.554,2.98614,0.51
190800,4,12.7732,-457.248,3.57095,0.50125
190900,3,12.5404,-454.349,1.89008,0.497778
191000,5,19.46,-464.99,2.06523,0.442882
191100,5,18.7457,-466.607,2.12874,0.54
191200,5,12.2695,-463.687,3.81082,0.52
191300,4,17.2011,-461.617,0.490829,0.516667
191400,4,13.9333,-462.141,3.36247,0.5025
191500,5,16.5768,-467.691,2.48296,0.498
191600,5,13.3157,-461.886,2.72361,0.501667
191700,4,13.3477,-462.958,3.35799,0.504286
191800,4,12.677,-461.94,3.54869,0.49375
191900,3,8.37835,-463.543,4.0822,0.492222
192000,3,11.6232,-461.892,0.415547,0.484
192100,3,10.5407,-463.673,2.17072,0.38
192200,3,11.3591,-461.317,1.83484,0.36
192300,3,9.72029,-461.561,3.97665,0.38
192400,3,11.1523,-466.803,2.29029,0.38
192500,3,12.9446,-461.849,1.4157,0.402
192600,3,10.8697,-462.865,2.68523,0.398333
192700,4,13.2287,-462.302,3.58511,0.405714
192800,4,15.2797,-461.774,1.53715,0.41375
192900,4,11.4975,-461.369,5.07022,0.425556
193000,3,10.5814,-460.863,1.35383,0.452
193100,4,8.91737,-461.614,3.36723,0.47
193200,4,12.7641,-460.681,0.938601,0.475
193300,3,6.64531,-459.09,1.3648,0.483333
193400,3,7.47345,-461.859,3.24947,0.48
193500,3,6.87839,-464.244,1.97593,0.49
193600,3,5.34814,-465.469,0.511301,0.486667
193700,3,7.17867,-461.811,1.97691,0.48
193800,3,11.0124,-460.636,0.647166,0.47875
193900,3,8.71528,-460.948,3.18578,0.48
194000,5,14.2078,-462.534,1.49744,0.488
194100,5,14.9679,-462.622,2.98159,0.41
194200,5,14.2845,-464.421,3.30766,0.43
194300,4,12.8291,-464.83,1.82613,0.42
194400,2,7.20161,-466.828,0.642387,0.4325
194500,2,3.84968,-468.001,2.71292,0.418
194600,2,6.25698,-467.444,0.540143,0.401667
194700,2,6.31245,-471.85,0.502604,0.401429
194800,2,8.00826,-469.986,0.873685,0.3925
194900,2,7.13525,-468.995,1.4269,0.39
195000,2,8.95721,-462.432,1.02949,0.387
195100,2,7.38171,-459.798,2.52809,0.39
195200,2,8.55988,-462.018,1.31017,0.38
195300,2,7.25962,-462.276,2.27523,0.356667
195400,2,10.1439,-462.075,0.914717,0.375
195500,2,10.1584,-459.394,0.840677,0.372
195600,3,11.9304,-458.726,2.80086,0.38
195700,3,14.9471,-462.417,0.738396,0.401429
195800,3,12.8657,-461.572,2.03598,0.41
195900,3,8.525,-460.325,1.67199,0.412222
196000,3,5.86957,-461.187,2.13319,0.42
196100,3,9.95054,-458.858,1.67928,0.54
196200,3,11.0688,-460.604,2.56435,0.48
196300,2,9.48821,-463.117,1.46227,0.496667
196400,2,7.33747,-464.45,1.27758,0.4825
196500,2,8.43343,-464.228,0.763665,0.482
196600,2,9.39667,-464.48,1.62104,0.48
196700,2,8.26711,-464.118,1.9307,0.471429
196800,2,7.04166,-461.368,3.804,0.46875
196900,3,11.8394,-466.003,1.61397,0.465556
197000,3,7.03706,-459.025,1.86636,0.459
197100,3,10.0578,-466.023,0.58362,0.38
197200,2,8.28893,-463.364,1.03202,0.45
197300,3,9.49712,-462.045,2.57049,0.453333
197400,3,9.89927,-460.883,3.25418,0.45
197500,3,12.9411,-464.492,1.20953,0.456
197600,4,12.3126,-470.051,2.35671,0.47
197700,4,14.3773,-464.334,1.87926,0.475714
197800,4,12.8789,-464.985,3.23529,0.48
197900,4,13.2958,-464.659,2.33656,0.488889
198000,3,10.4621,-464.568,3.71343,0.493
198100,3,11.7306,-467.301,2.90593,0.5
198200,3,12.9039,-468.545,1.54686,0.455
198300,3,11.1625,-466.883,2.51215,0.463333
198400,2,8.58759,-470.809,1.22474,0.44
198500,1,4.07266,-476.081,1.70706,0.438
198600,1,5.0684,-476.155,1.16393,0.41
198700,1,6.04969,-474.752,0.241857,0.417143
198800,1,5.29448,-476.16,1.6266,0.4175
198900,1,7.04279,-470.636,0.274424,0.415556
199000,4,13.9785,-458.709,3.83368,0.465857
199100,4,16.0323,-457.045,2.37698,0.44
199200,4,12.6533,-455.819,3.85389,0.42
199300,4,14.7862,-453.956,2.04929,0.43
199400,5,16.5437,-454.745,2.18617,0.435
199500,7,13.3528,-457.36,5.52259,0.458
199600,7,15.5712,-458.297,4.66748,0.456667
199700,8,20.0156,-461.585,5.94956,0.45
199800,7,20.0197,-457.234,3.55725,0.4425
199900,7,18.6387,-459.29,4.46544,0.453333
200000,5,9.67069,-453.26,3.44414,0.454875
200100,5,15.0135,-454.146,2.25287,0.45
200200,6,16.7362,-454.722,3.20781,0.425
200300,6,14.8536,-455.617,5.17824,0.446667
200400,8,27.9786,-454.186,3.25782,0.4425
200500,8,25.0474,-451.44,3.07042,0.466
200600,7,19.0418,-453.266,2.20935,0.471667
200700,7,17.2548,-450.343,5.50968,0.477143
200800,8,25.2931,-450.024,4.77365,0.48375
200900,7,19.1448,-449.322,6.53994,0.488889
201000,7,23.1407,-452.503,3.40791,0.484
201100,7,25.871,-450.557,2.17793,0.5
201200,7,21.7008,-449.825,6.0836,0.515
201300,6,21.5715,-451.234,2.97618,0.496667
201400,5,18.6395,-449.571,2.41594,0.5025
201500,4,15.7044,-452.818,1.46678,0.504
201600,4,14.4191,-453.205,2.21176,0.505
201700,3,8.57034,-451.73,2.46788,0.501429
201800,3,9.59238,-454.161,1.44155,0.50125
201900,4,9.17067,-455.313,3.97622,0.5
202000,4,11.0057,-463.739,3.29766,0.507333
202100,3,10.979,-466.252,1.869,0.5
202200,2,6.34858,-465.649,1.53509,0.505
202300,2,5.8685,-462.592,2.09388,0.456667
202400,2,4.89676,-461.293,2.48794,0.4775
202500,2,9.31758,-463.367,1.42175,0.484
202600,2,7.82505,-462.934,0.625047,0.486667
202700,2,7.19745,-462.603,0.736117,0.485714
202800,2,5.8787,-462.7,3.04074,0.4975
202900,3,11.8196,-464.539,1.5734,0.492222
203000,1,6.62599,-471.874,0.169827,0.4314
203100,1,3.64517,-470.626,1.82481,0.42
203200,1,4.58372,-473.937,1.94665,0.415
203300,1,5.57246,-473.264,1.49374,0.403333
203400,1,4.73844,-470.922,2.02919,0.4075
203500,1,5.45798,-469.255,1.34888,0.404
203600,2,6.31833,-469.28,1.34796,0.423333
203700,1,5.25359,-466.977,1.53479,0.434286
203800,1,5.93968,-468.873,0.416177,0.43
203900,2,6.48169,-469.311,1.55308,0.437778
204000,1,3.20671,-472.099,3.58452,0.435
204100,1,6.4769,-469.742,0.967991,0.39
204200,1,6.86978,-474.017,0.272119,0.405
204300,1,5.87383,-473.345,0.512864,0.39
204400,1,6.66174,-472.736,0.553059,0.4025
204500,1,5.99123,-471.877,0.579491,0.422
204600,1,7.11458,-469.427,0.262816,0.423333
204700,2,7.40371,-470.148,0.663046,0.442857
204800,1,5.5734,-468.876,0.915698,0.42875
204900,2,8.86775,-463.93,0.799757,0.427778
205000,6,15.9414,-459.828,3.88486,0.504667
205100,7,19.5762,-461.127,3.17667,0.55
205200,7,17.2378,-463.717,4.42861,0.52
205300,7,20.1865,-465.817,1.55568,0.49
205400,5,13.1703,-464.145,2.68,0.485
205500,4,11.1432,-464.117,2.76182,0.488
205600,4,7.3063,-468.545,5.61042,0.486667
205700,3,6.47105,-467.252,3.88525,0.471429
205800,3,9.50471,-467.932,1.01145,0.46375
205900,2,6.42365,-463.214,1.98416,0.448889
206000,5,14.8117,-455.414,2.85412,0.4716
206100,6,16.4823,-457.507,4.3424,0.43
206200,6,11.8779,-454.7,3.23248,0.405
206300,6,12.1759,-456.64,2.68483,0.41
206400,5,12.2797,-454.409,4.1712,0.4075
206500,5,14.3248,-456.689,1.16368,0.428
206600,5,13.9515,-456.227,0.814754,0.428333
206700,5,12.2017,-455.918,2.0478,0.441429
206800,5,11.297,-455.18,2.05025,0.44375
206900,5,8.92164,-450.222,4.39594,0.446667
207000,3,11.509,-457.634,1.97935,0.451
207100,3,10.7325,-459.133,2.09783,0.45
207200,4,12.2989,-459.842,1.65747,0.465
207300,4,14.6257,-462,2.26038,0.513333
207400,4,15.3986,-461.127,2.46163,0.5075
207500,4,10.6085,-458.49,3.73456,0.502
207600,5,12.7935,-460.951,2.68854,0.513333
207700,4,10.4797,-464.78,2.76487,0.52
207800,4,12.2,-464.876,2.26241,0.51375
207900,3,5.64911,-464.847,3.1871,0.506667
208000,4,15.9554,-464.975,1.16135,0.509
208100,4,17.2302,-462.517,1.39875,0.52
208200,3,13.1038,-458.695,1.51405,0.495
208300,3,13.3455,-459.529,1.19043,0.493333
208400,3,8.51698,-459.308,4.78875,0.49
208500,4,14.6303,-461.981,2.49119,0.492
208600,2,9.10028,-462.429,2.13746,0.483333
208700,2,10.1928,-462.398,0.65075,0.478571
208800,2,8.54945,-462.801,2.63018,0.475
208900,2,10.1403,-463.863,1.086,0.47
209000,2,10.2253,-463.816,1.38739,0.473
209100,2,10.8263,-461.475,0.549353,0.5
209200,2,11.0788,-461.302,0.477715,0.52
209300,2,6.72567,-461.601,3.90877,0.496667
209400,2,9.26996,-465.835,1.17871,0.49
209500,3,11.4974,-467.103,1.36605,0.506
209600,3,12.3093,-463.224,0.575412,0.508333
209700,3,10.4334,-463.018,1.84969,0.51
209800,4,11.6342,-466.219,1.83312,0.5025
209900,4,14.3432,-464.588,2.37644,0.503333
210000,2,8.02625,-466.776,1.4863,0.468
210100,2,5.84308,-460.843,2.17594,0.38
210200,2,8.80599,-459.011,0.918957,0.46
210300,2,10.309,-461.39,0.995982,0.453333
210400,2,9.77078,-460.853,1.67477,0.445
210500,3,14.3897,-459.569,1.32657,0.446
210600,2,6.43148,-462.08,3.40056,0.465
210700,3,12.601,-460.891,2.14188,0.462857
210800,3,10.5533,-462.874,3.49475,0.485
210900,3,9.87939,-464.456,3.58137,0.488889
211000,2,4.8264,-466.684,0.420848,0.441714
211100,2,9.44485,-462.583,0.372183,0.56
211200,2,7.97563,-464.229,2.51059,0.525
211300,2,7.5426,-463.818,1.68737,0.496667
211400,2,7.14097,-466.248,3.49176,0.5
211500,2,10.774,-467.497,0.314823,0.478
211600,2,11.3956,-464.703,0.46128,0.493333
211700,2,10.0896,-463.007,1.06774,0.477143
211800,2,9.07781,-463.227,2.55914,0.48625
211900,2,9.3542,-463.282,2.0742,0.485556
212000,3,12.6723,-459.104,2.84899,0.4685
212100,3,12.7803,-460.369,2.55615,0.45
212200,3,9.87312,-457.139,3.57446,0.41
212300,3,10.2641,-459.644,3.41335,0.44
212400,3,11.9336,-456.808,0.907369,0.425
212500,3,11.8828,-458.891,1.73589,0.428
212600,3,12.5375,-458.432,1.16031,0.426667
212700,4,14.9291,-456.47,1.80174,0.437143
212800,4,11.8491,-455.493,2.44049,0.43625
212900,4,14.1061,-454.807,0.584124,0.443333
213000,2,9.05026,-461.175,0.901211,0.444
213100,2,8.5183,-461.239,0.835647,0.29
213200,2,9.21678,-462.217,0.496462,0.34
213300,2,8.0111,-462.527,0.955169,0.373333
213400,4,12.1515,-461.33,1.93794,0.405
