hpd_names,cleaned_names,accepted_name,,clade,sampling_fraction,ITS (nuclear),matK (chloroplast),,Reference ,,,campo_rupestre,non_campo_rupestre
Habenaria_hieronymi,Habenaria_hieronymi,Habenaria hexaptera Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777524.1,HM777924.1,,Batista et al. 2013,,,1,1
Habenaria_hippocrepica_Batista1920,Habenaria_hippocrepica,Habenaria hippocrepica ,,(BAMM analysis not performed),(BAMM analysis not performed),KT831440.1,KT831445.1,,Batista et al. 2016,,,1,0
Habenaria_humilis,Habenaria_humilis,Habenaria humilis Cogn.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777581.1,HM777879.1,,Batista et al. 2013,,,1,0
Habenaria_ibarrae,Habenaria_ibarrae,Habenaria ibarrae R.GonzÃ¡lez,,(BAMM analysis not performed),(BAMM analysis not performed),HF560576.1,HF560600.1,,Batista et al. 2013,,,0,1
Habenaria_imbricata_Batista2513,Habenaria_imbricata,Habenaria imbricata Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777650.1,HM777927.1,,Batista et al. 2013,,,1,0
Habenaria_itaculumia,Habenaria_itaculumia,Habenaria itaculumia Garay,,(BAMM analysis not performed),(BAMM analysis not performed),HM777723.1,HM777975.1,,Batista et al. 2013,,,1,0
Habenaria_itatiayae,Habenaria_itatiayae,Habenaria itatiayae Schltr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777663.1,HM777894.1,,Batista et al. 2013,,,1,1
Habenaria_jaguariahyvae,Habenaria_jaguariahyvae,Habenaria jaguariahyvae Kraenzl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777669.1,HM777919.1,,Batista et al. 2013,,,1,0
Habenaria_johannensis,Habenaria_johannensis,Habenaria johannensis Barb.Rodr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777609.1,HM777841.1,,Batista et al. 2013,,,0,1
Habenaria_josephensis,Habenaria_josephensis,Habenaria josephensis Barb.Rodr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777596.1,HM777854.1,,Batista et al. 2013,,,1,1
Habenaria_juruenensis,Habenaria_juruenensis,Habenaria juruenensis Hoehne,,(BAMM analysis not performed),(BAMM analysis not performed),HM777531.1,HM777897.1,,Batista et al. 2013,,,1,0
Habenaria_kleinii,Habenaria_kleinii,Habenaria kleinii Menini & J.A.N.Bat.,,(BAMM analysis not performed),(BAMM analysis not performed),KC257469.1,KC257477.1,,Batista et al. 2013,,,0,1
Habenaria_laevigata,Habenaria_laevigata,Habenaria laevigata Lindl.,,(outgroup),(outgroup),DQ522076.1,DQ522096.1,,Batista et al. 2013,,,0,1
Habenaria_lavrensis_Batista1497,Habenaria_lavrensis,Habenaria lavrensis Hoehne,,(BAMM analysis not performed),(BAMM analysis not performed),HM777710.1,HM777938.1,,Batista et al. 2013,,,1,1
Habenaria_leprieurii_Batista1624,Habenaria_leprieurii,Habenaria leprieuri Rchb.f.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777661.1,HM777950.1,,Batista et al. 2013,,,1,1
Habenaria_leptoceras,Habenaria_leptoceras,Habenaria leptoceras Hook.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777597.1,HM777855.1,,Batista et al. 2013,,,0,1
Habenaria_leucosantha,Habenaria_leucosantha,Habenaria leucosantha Barb.Rodr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777568.1,HM777790.1,,Batista et al. 2013,,,1,1
Habenaria_lithophila,Habenaria_lithophila,Habenaria lithophila Schltr.,,(BAMM analysis not performed),(BAMM analysis not performed),DQ522077.1,DQ522098.1,,Batista et al. 2013,,,0,1
Habenaria_longicauda,Habenaria_longicauda,Habenaria longicauda Hook.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777608.1,HM777843.1,,Batista et al. 2013,,,0,1
Habenaria_ludibundiciliata_Jardim4529,Habenaria_ludibundiciliata,Habenaria ludibundiciliata J.A.N.Batista & Bianchetti,,(BAMM analysis not performed),(BAMM analysis not performed),HM777639.1,HM778007.1,,Batista et al. 2013,,,1,1
Habenaria_macilenta_Batista2354,Habenaria_macilenta,Habenaria macilenta (Lindl. ex Benth.) Rchb.f.,,(BAMM analysis not performed),(BAMM analysis not performed),KC257472.1,HM777813.1,,Batista et al. 2013,,,1,1
Habenaria_macroceratitis,Habenaria_macroceratitis,Habenaria macroceratitis Willd.,,(BAMM analysis not performed),(BAMM analysis not performed),HF560577.1,HF560601.1,,Batista et al. 2013,,,0,1
Habenaria_macronectar,Habenaria_macronectar,Habenaria macronectar (Vell.) Hoehne,,(BAMM analysis not performed),(BAMM analysis not performed),HM777614.1,HM777833.1,,Batista et al. 2013,,,0,1
Habenaria_macvaughiana,Habenaria_macvaughiana,Habenaria macvaughiana R.GonzÃ¡lez,,(BAMM analysis not performed),(BAMM analysis not performed),HF560578.1,HF560602.1,,Batista et al. 2013,,,0,1
Habenaria_magdalenensis,Habenaria_magdalenensis,Habenaria magdalenensis Hoehne,,(BAMM analysis not performed),(BAMM analysis not performed),HM777595.1,HM777858.1,,Batista et al. 2013,,,1,0
Habenaria_magniscutata,Habenaria_magniscutata,Habenaria magniscutata Catling,,(BAMM analysis not performed),(BAMM analysis not performed),HM777641.1,HM777880.1,,Batista et al. 2013,,,1,0
Habenaria_mannii,Habenaria_mannii,Habenaria mannii Hook.f.,,(BAMM analysis not performed),(BAMM analysis not performed),HF560579.1,HF560603.1,,Batista et al. 2013,,,0,1
Habenaria_aff_meena,Habenaria_meeana,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777713.1,HM777965.1,,Batista et al. 2013,,,1,0
Habenaria_melanopoda_Batista1810,Habenaria_melanopoda,Habenaria melanopoda Hoehne & Schltr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777686.1,HM777887.1,,Batista et al. 2013,,,1,1
Habenaria_mello_barretoi,Habenaria_mello_barretoi,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777685.1,HM777886.1,,Batista et al. 2013,,,1,0
Habenaria_monorrhiza,Habenaria_monorrhiza,Habenaria monorrhiza (Sw.) Rchb.f.,,(BAMM analysis not performed),(BAMM analysis not performed),HF560580.1,HF560604.1,,Batista et al. 2013,,,0,1
Habenaria_montevidensis,Habenaria_montevidensis,Habenaria montevidensis Spreng.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777619.1,HM777826.1,,Batista et al. 2013,,,1,1
Habenaria_montis_wilhelminae_Batista1555,Habenaria_montis_wilhelminae,Habenaria montis ,,(BAMM analysis not performed),(BAMM analysis not performed),HM777714.1,HM777957.1,,Batista et al. 2013,,,0,1
Habenaria_mystacina,Habenaria_mystacina,Habenaria mystacina Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777728.1,HM777970.1,,Batista et al. 2013,,,1,1
Habenaria_nabucoi,Habenaria_nabucoi,Habenaria nabucoi Ruschi,,(BAMM analysis not performed),(BAMM analysis not performed),HM777611.1,HM777840.1,,Batista et al. 2013,,,0,1
Habenaria_nasuta,Habenaria_nasuta,Habenaria nuda Lindl. var. nuda,,(BAMM analysis not performed),(BAMM analysis not performed),HM777716.1,HM777959.1,,Batista et al. 2013,,,1,1
Habenaria_nemorosa,Habenaria_nemorosa,Habenaria nemorosa Barb.Rodr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777634.1,HM777872.1,,Batista et al. 2013,,,0,1
Habenaria_nuda,Habenaria_nuda,Habenaria nuda Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777718.1,HM777984.1,,Batista et al. 2013,,,1,1
Habenaria_nuda_var_pygmae,Habenaria_nuda_var_pygmae,Habenaria nuda Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777651.1,HM777981.1,,Batista et al. 2013,,,1,0
Habenaria_obtusa,Habenaria_obtusa,Habenaria obtusa Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777587.1,HM777862.1,,Batista et al. 2013,,,1,1
Habenaria_cf_odontopetala_Batista2037,Habenaria_odontopetala,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777591.1,HM777867.1,,Batista et al. 2013,,,0,1
Habenaria_orchiocalcar,Habenaria_orchiocalcar,Habenaria orchiocalcar Hoehne,,(BAMM analysis not performed),(BAMM analysis not performed),HM777662.1,HM777914.1,,Batista et al. 2013,,,1,1
Habenaria_pabstii,Habenaria_pabstii,Habenaria pabstii J.A.N.Batista & Bianchetti,,(BAMM analysis not performed),(BAMM analysis not performed),HM777666.1,HM777912.1,,Batista et al. 2013,,,1,1
Habenaria_paranaensis,Habenaria_paranaensis,Habenaria paranaensis Barb.Rodr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777528.1,HM777796.1,,Batista et al. 2013,,,0,1
Habenaria_parviflora_Batista2477,Habenaria_parviflora,Habenaria parviflora Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),KC257475.1,HM777800.1,,Batista et al. 2013,,,1,1
Habenaria_paulensis,Habenaria_paulensis,Habenaria parviflora Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777556.1,HM777798.1,,Batista et al. 2013,,,0,1
Habenaria_paulistana,Habenaria_paulistana,Habenaria paulistana J.A.N.Batista & Bianchetti,,(BAMM analysis not performed),(BAMM analysis not performed),HM777610.1,HM777838.1,,Batista et al. 2013,,,0,1
Habenaria_petalodes,Habenaria_petalodes,Habenaria petalodes Lindl.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777583.1,HM777861.1,,Batista et al. 2013,,,1,1
Habenaria_cf_piraquarensis_Batista1050,Habenaria_piraquarensis,NA,,(BAMM analysis not performed),(BAMM analysis not performed),HM777633.1,HM777877.1,,Batista et al. 2013,,,0,1
Habenaria_pleiophylla,Habenaria_pleiophylla,Habenaria pleiophylla Hoehne & Schltr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777594.1,HM777857.1,,Batista et al. 2013,,,0,1
Habenaria_praestans,Habenaria_praestans,Habenaria praestans Rendle,,(outgroup),(outgroup),DQ522079.1,DQ522100.1,,Batista et al. 2013,,,0,1
Habenaria_pratensis,Habenaria_pratensis,Habenaria pratensis (Salzm. ex Lindl.) Rchb.f.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777546.1,HM777847.1,,Batista et al. 2013,,,0,1
Habenaria_psammophila,Habenaria_psammophila,"Habenaria psammophila J.A.N.Bat., Bianch. & B.M.Carvalho",,(BAMM analysis not performed),(BAMM analysis not performed),HM777550.1,HM778000.1,,Batista et al. 2013,,,1,0
Habenaria_pseudoculicina,Habenaria_pseudoculicina,Habenaria pseudoculicina J.A.N.Bat. & B.M.Carvalho,,(BAMM analysis not performed),(BAMM analysis not performed),HM777707.1,HM777943.1,,Batista et al. 2013,,,1,0
Habenaria_pseudoglaucophylla,Habenaria_pseudoglaucophylla,Habenaria pseudoglaucophylla J.A.N.Bat. et al.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777590.1,HM777852.1,,Batista et al. 2013,,,1,0
Habenaria_pseudohamata,Habenaria_pseudohamata,Habenaria pseudohamata Toscano,,(BAMM analysis not performed),(BAMM analysis not performed),HM777593.1,HM777856.1,,Batista et al. 2013,,,1,0
Habenaria_pubidactyla_vandenBerg1360,Habenaria_pubidactyla,Habenaria pubidactyla J.A.N.Bat. & Bianch.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777702.1,HM777973.1,,Batista et al. 2013,,,1,0
Habenaria_pubidactyla_subsp_brasiliensis,Habenaria_pubidactyla_subsp_brasiliensis,Habenaria pubidactyla J.A.N.Bat. & Bianch.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777690.1,HM777974.1,,Batista et al. 2013,,,1,0
Habenaria_pubidactyla_var_apiculatipetala,Habenaria_pubidactyla_var_apiculatipetala,Habenaria pubidactyla J.A.N.Bat. & Bianch.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777729.1,HM777972.1,,Batista et al. 2013,,,1,0
Habenaria_pungens,Habenaria_pungens,Habenaria pungens Cogn.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777570.1,HM778011.1,,Batista et al. 2013,,,1,0
Habenaria_quadriferricola_Batista1619,Habenaria_quadriferricola,Habenaria quadriferricola ,,(BAMM analysis not performed),(BAMM analysis not performed),HM777699.1,HM777947.1,,Batista et al. 2016,,,1,0
Habenaria_quinqueseta,Habenaria_quinqueseta,Habenaria quinqueseta (Michx.) Eaton,,(BAMM analysis not performed),(BAMM analysis not performed),HF560581.1,HF560605.1,,Batista et al. 2013,,,0,1
Habenaria_reflexicalcar_Batista1744,Habenaria_reflexicalcar,Habenaria reflexicalcar ,,(BAMM analysis not performed),(BAMM analysis not performed),HM777700.1,HM777948.1,,Batista et al. 2016,,,1,0
Habenaria_regnellii_Batista2801,Habenaria_regnellii,Habenaria regnellii Cogn.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777603.1,HM777830.1,,Batista et al. 2013,,,0,1
Habenaria_repens,Habenaria_repens,Habenaria repens Nutt.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777628.1,HM777817.1,,Batista et al. 2013,,,1,1
Habenaria_rodeiensis,Habenaria_rodeiensis,Habenaria rodeiensis Barb.Rodr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777577.1,HM777995.1,,Batista et al. 2013,,,1,1
Habenaria_rolfeana,Habenaria_rolfeana,Habenaria rolfeana Schltr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777730.1,HM777978.1,,Batista et al. 2013,,,1,1
Habenaria_roraimensis,Habenaria_roraimensis,Habenaria roraimensis Rolfe,,(BAMM analysis not performed),(BAMM analysis not performed),HM777676.1,HM777925.1,,Batista et al. 2013,,,0,1
Habenaria_rotundiloba,Habenaria_rotundiloba,Habenaria rotundiloba Pabst,,(BAMM analysis not performed),(BAMM analysis not performed),HM777717.1,HM778017.1,,Batista et al. 2013,,,0,1
Habenaria_rupicola,Habenaria_rupicola,Habenaria rupicola Barb.Rodr.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777534.1,HM777910.1,,Batista et al. 2013,,,1,1
Habenaria_rzedowskiana,Habenaria_rzedowskiana,Habenaria rzedowskiana R. GonzÃ¡lez,,(BAMM analysis not performed),(BAMM analysis not performed),HF560582.1,HF560606.1,,Batista et al. 2013,,,0,1
Habenaria_schenckii,Habenaria_schenckii,Habenaria schenckii Cogn.,,(BAMM analysis not performed),(BAMM analysis not performed),HM777580.1,HM777869.1,,Batista et al. 2013,,,1,1
