hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,,ITS (nuclear),ETS (nuclear),rpl32 - trnL (plastid),ndhf (plastid),,Reference ,,campo_rupestre,non_campo_rupestre
Lychnophora_villosissima,Lychnophora_villosissima,Lychnophora villosissima Mart.,Lychnophora,0.57,,KM278368.1,KM278441.1,KM358516.1,KM278507.1,,Loeuille et al. 2015,,1,0
Lychnophoriopsis_candelabrum,Lychnophoriopsis_candelabrum,Lychnophoriopsis candelabrum (Sch.Bip.) H.Rob.,Lychnophora,0.57,,KM053319.1,KM278415.1,KM243803.1,KM243867.1,,Loeuille et al. 2015,,1,0
Lychnophoriopsis_damazioi,Lychnophoriopsis_damazioi,Lychnophoriopsis damazioi (Beauverd) H.Rob.,incertaesedis2,1,,KM278347.1,KM278416.1,KM358508.1,KM278486.1,,Loeuille et al. 2015,,1,0
Lychnophoriopsis_hatschbachii,Lychnophoriopsis_hatschbachii,Lychnophoriopsis hatschbachii H.Rob.,Lychnophora,0.57,,KM278348.1,KM278417.1,KM358511.1,KM278487.1,,Loeuille et al. 2015,,1,0
Minasia_alpestris,Minasia_alpestris,Minasia alpestris (Gardner) H.Rob.,Minasia,0.71,,KM053320.1,KM278442.1,KM243808.1,KM243868.1,,Loeuille et al. 2015,,1,0
Minasia_cabralensis,Minasia_cabralensis,Minasia cabralensis H.Rob.,Minasia,0.71,,KM278369.1,KM278443.1,KM358506.1,KM278508.1,,Loeuille et al. 2015,,1,0
Minasia_ramosa,Minasia_ramosa,"Minasia ramosa Loeuille, H. Rob., Semir",Minasia,0.71,,KM278371.1,KM278445.1,KM358507.1,KM278510.1,,Loeuille et al. 2015,,1,0
Minasia_scapigera,Minasia_scapigera,Minasia scapigera H.Rob.,Minasia,0.71,,KM278372.1,KM278446.1,KM358482.1,KM278511.1,,Loeuille et al. 2015,,1,0
Minasia_sp_Loeuille_494,Minasia_sp1,NA,Minasia,0.71,,KM278370.1,KM278444.1,KM358481.1,KM278509.1,,Loeuille et al. 2015,,1,0
Paralychnophora_atkinsiae,Paralychnophora_atkinsiae,Paralychnophora atkinsiae D.J.N.Hind,Paralychnophora,1,,KM278373.1,KM278449.1,KM358484.1,KM278512.1,,Loeuille et al. 2015,,1,0
Paralychnophora_bicolor,Paralychnophora_bicolor,Paralychnophora bicolor (DC.) MacLeish,Paralychnophora,1,,KM278377.1,KM278453.1,KM358478.1,KM278516.1,,Loeuille et al. 2015,,1,0
Paralychnophora_glaziouana,Paralychnophora_glaziouana,Paralychnophora glaziouana Loeuille,Paralychnophora,1,,KM053323.1,KM278450.1,KM243811.1,KM243871.1,,Loeuille et al. 2015,,1,0
Paralychnophora_harleyi,Paralychnophora_harleyi,Paralychnophora harleyi (H.Rob.) D.J.N.Hind,Paralychnophora,1,,KM278374.1,KM278451.1,KM358476.1,KM278513.1,,Loeuille et al. 2015,,1,0
Paralychnophora_patriciana,Paralychnophora_patriciana,Paralychnophora patriciana D.J.N.Hind,Paralychnophora,1,,KM278375.1,KM278452.1,KM358477.1,KM278514.1,,Loeuille et al. 2015,,1,0
Paralychnophora_reflexoauriculata,Paralychnophora_reflexoauriculata,Paralychnophora reflexoauriculata (G.M.Barroso) MacLeish,Paralychnophora,1,,KM278376.1,KM278447.1,KM358470.1,KM278515.1,,Loeuille et al. 2015,,1,1
Piptocarpha_oblonga,Piptocarpha_oblonga,Piptocarpha oblonga (Gardner) Baker,(outgroup),(outgroup),,KM053324.1,KM278454.1,KM243812.1,KM243872.1,,Loeuille et al. 2015,,1,1
Piptolepis_ericoides,Piptolepis_ericoides,Piptolepis ericoides Sch.Bip.,Piptolepis,0.5,,KM053326.1,KM278455.1,KM243814.1,KM243874.1,,Loeuille et al. 2015,,1,0
Piptolepis_monticola,Piptolepis_monticola,Piptolepis monticola Loeuille,Piptolepis,0.5,,KM278380.1,KM278457.1,KM358519.1,KM278519.1,,Loeuille et al. 2015,,1,0
Piptolepis_oleaster,Piptolepis_oleaster,Piptolepis oleaster (Mart. ex DC.) Sch.Bip.,Piptolepis,0.5,,KM278379.1,KM278456.1,KM358520.1,KM278518.1,,Loeuille et al. 2015,,1,0
Piptolepis_schultziana,Piptolepis_schultziana,Piptolepis schultziana Loeuille & D.J.N. Hind,Piptolepis,0.5,,KM278382.1,KM278459.1,KM358518.1,KM278520.1,,Loeuille et al. 2015,,1,0
Piptolepis_sp,Piptolepis_sp1,NA,Piptolepis,0.5,,KM278381.1,KM278458.1,KM358521.1,,,Loeuille et al. 2015,,1,0
Prestelia_eriopus,Prestelia_eriopus,Prestelia eriopus Sch.Bip.,Prestelia,0.67,,KM053328.1,KM278461.1,KM243816.1,KM243875.1,,Loeuille et al. 2015,,1,0
Pretelia_sp_Mansanares_Verola_340,Pretelia_sp1,NA,Prestelia,0.67,,KM278383.1,KM278462.1,KM358489.1,KM278521.1,,Loeuille et al. 2015,,1,0
Proteopsis_argentea,Proteopsis_argentea,Proteopsis argentea Mart. & Zucc. ex Sch.Bip.,Proteopsis,1,,KM053329.1,KM278463.1,KM243817.1,KM243876.1,,Loeuille et al. 2015,,1,0
Proteopsis_sp_Mello_Silva_3008,Proteopsis_sp1,NA,Proteopsis,1,,KM278344.1,KM278410.1,KM358505.1,KM278483.1,,Loeuille et al. 2015,,1,0
