hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,,,,,Reference,,cr,nonCr
Barbacenia_macrantha,Barbacenia_macrantha,Barbacenia macrantha Lem.,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_mantiqueirae,Barbacenia_mantiqueirae,Barbacenia mantiqueirae Goethart & Henrard,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Barbacenia_markgrafii,Barbacenia_markgrafii,Barbacenia markgrafii Schulze-Menz,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_minima,Barbacenia_minima,Barbacenia minima L.B.Sm. & Ayensu,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_nana,Barbacenia_nana,Barbacenia nana L.B.Sm. & Ayensu,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_paranaensis,Barbacenia_paranaensis,Barbacenia paranaensis L.B.Sm.,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Barbacenia_plantaginea,Barbacenia_plantaginea,Barbacenia plantaginea L.B.Sm.,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_pungens,Barbacenia_pungens,Barbacenia pungens (N.L.Menezes & Semir) Mello-Silva,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_purpurea,Barbacenia_purpurea,Barbacenia purpurea Hook.,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Barbacenia_rectifolia,Barbacenia_rectifolia,Barbacenia rectifolia L.B.Sm. & Ayensu,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_reflexa,Barbacenia_reflexa,Barbacenia reflexa L.B.Sm. & Ayensu,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_regis,Barbacenia_regis,Barbacenia regis L.B.Sm.,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_rideliana,Barbacenia_rideliana,Barbacenia riedeliana Goethart & Henrard,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_riparia,Barbacenia_riparia,Barbacenia riparia (N.L.Menezes & Mello-Silva) Mello-Silva,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_rubrovirens,Barbacenia_rubrovirens,Barbacenia rubrovirens Mart.,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_serracabralea,Barbacenia_serracabralea,Barbacenia serracabralea ,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_sp1,Barbacenia_sp1,NA,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_spectabilis,Barbacenia_spectabilis,Barbacenia spectabilis L.B.Sm. & Ayensu,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Barbacenia_spiralis,Barbacenia_spiralis,Barbacenia spiralis L.B.Sm. & Ayensu,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_tomentosa,Barbacenia_tomentosa,Barbacenia tomentosa Mart.,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,1
Barbacenia_umbrosa,Barbacenia_umbrosa,Barbacenia umbrosa L.B.Sm. & Ayensu,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbacenia_vandellii,Barbacenia_vandellii,Barbacenia vandellii Pohl ex Seub.,Barbacenia,0.49,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Barbaceniopsis_boliviensis,Barbaceniopsis_boliviensis,Barbaceniopsis boliviensis (Baker) L.B.Sm.,Barbaceniopsis,1,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Barbaceniopsis_castillonii,Barbaceniopsis_castillonii,Barbaceniopsis castillonii (Hauman) Ibisch,Barbaceniopsis,1,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Barbaceniopsis_humahuaquensis,Barbaceniopsis_humahuaquensis,Barbaceniopsis humahuaquensis Noher,Barbaceniopsis,1,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Barbaceniopsis_vargasiana,Barbaceniopsis_vargasiana,Barbaceniopsis vargasiana (L.B.Sm.) L.B.Sm.,Barbaceniopsis,1,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Vellozia_abietina,Vellozia_abietina,Vellozia abietina Mart.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_alata,Vellozia_alata,Vellozia alata L.B.Sm.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_albiflora,Vellozia_albiflora,Vellozia albiflora Pohl,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,1
Vellozia_albohexandra,Vellozia_albohexandra,Vellozia albohexandra ,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_aloifolia,Vellozia_aloifolia,Vellozia aloifolia Mart.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_andina,Vellozia_andina,"Vellozia andina Ibisch, R.VՍsquez & Nowicki",Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Vellozia_armata,Vellozia_armata,Vellozia armata Mello-Silva,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_auriculata,Vellozia_auriculata,Vellozia auriculata Mello-Silva & N.L.Menezes,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_barbata,Vellozia_barbata,Vellozia barbata Goethart & Henrard,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_bradei,Vellozia_bradei,Vellozia bradei Schulze-Menz,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_brevifolia,Vellozia_brevifolia,Vellozia brevifolia Seub.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_breviscapa,Vellozia_breviscapa,Vellozia breviscapa Mart.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_burlemarxii,Vellozia_burlemarxii,Vellozia burle-marxii L.B.Sm. & Ayensu,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_caespitosa,Vellozia_caespitosa,Vellozia caespitosa L.B.Sm. & Ayensu,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_candida,Vellozia_candida,Vellozia candida J.C.Mikan,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Vellozia_canelinha,Vellozia_canelinha,Vellozia canelinha Mello-Silva,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_caput_ardeae,Vellozia_caput_ardeae,Vellozia caput ,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_caruncularis,Vellozia_caruncularis,Vellozia caruncularis Mart. ex Seub.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_caudata,Vellozia_caudata,Vellozia caudata Mello-Silva,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_ciliata,Vellozia_ciliata,Vellozia ciliata L.B.Sm.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_cipoensis,Vellozia_cipoensis,Vellozia cipoensis ,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_compacta,Vellozia_compacta,Vellozia compacta Mart.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_crinita,Vellozia_crinita,Vellozia crinita Goethart & Henrard,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,1
Vellozia_cryptantha,Vellozia_cryptantha,Vellozia cryptantha Seub.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_dasypus,Vellozia_dasypus,Vellozia dasypus Seub.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,1
Vellozia_declinans,Vellozia_declinans,Vellozia declinans Goethart & Henrard,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_epidendroides,Vellozia_epidendroides,Vellozia epidendroides Mart.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_exilis,Vellozia_exilis,Vellozia exilis Goethart & Henrard,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Vellozia_froesii,Vellozia_froesii,Vellozia froesii L.B.Sm.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_furcata,Vellozia_furcata,Vellozia furcata L.B.Sm. & Ayensu,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_geotegens,Vellozia_geotegens,Vellozia geotegens L.B.Sm. & Ayensu,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_gigantea,Vellozia_gigantea,Vellozia gigantea N.L.Menezes & Mello-Silva,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,1
Vellozia_giuliettiae,Vellozia_giuliettiae,Vellozia giuliettiae ,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_glabra,Vellozia_glabra,Vellozia glabra J.C.Mikan,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_glauca,Vellozia_glauca,Vellozia glauca Pohl,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,1
Vellozia_goiasensis,Vellozia_goiasensis,Vellozia goiasensis L.B.Sm.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Vellozia_graminea,Vellozia_graminea,Vellozia graminea Pohl,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_graomogolensis,Vellozia_graomogolensis,Vellozia graomogolensis ,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_hatschbachii,Vellozia_hatschbachii,Vellozia hatschbachii L.B.Sm. & Ayensu,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_hemisphaerica,Vellozia_hemisphaerica,Vellozia hemisphaerica Seub.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_hirsuta,Vellozia_hirsuta,Vellozia hirsuta Goethart & Henrard,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_intermedia,Vellozia_intermedia,Vellozia intermedia Seub.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,1
Vellozia_jolyi,Vellozia_jolyi,Vellozia jolyi L.B.Sm.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_luteola,Vellozia_luteola,Vellozia luteola Mello-Silva & N.L.Menezes,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_marcescens,Vellozia_marcescens,Vellozia marcescens L.B.Sm.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_maxillarioides,Vellozia_maxillarioides,Vellozia maxillarioides L.B.Sm.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_metzgerae,Vellozia_metzgerae,Vellozia metzgerae L.B.Sm.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_minima,Vellozia_minima,Vellozia minima Pohl,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_nanuzae,Vellozia_nanuzae,Vellozia nanuzae L.B.Sm. & Ayensu,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_nivea,Vellozia_nivea,Vellozia nivea L.B.Sm. & Ayensu,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,1
Vellozia_obtecta,Vellozia_obtecta,Vellozia obtecta Mello-Silva,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Vellozia_ornata,Vellozia_ornata,Vellozia ornata Mart.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_patens,Vellozia_patens,Vellozia patens L.B.Sm. & Ayensu,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_peripherica,Vellozia_peripherica,Vellozia peripherica Mello-Silva,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Vellozia_plicata,Vellozia_plicata,Nanuza plicata (Mart.) L.B.Sm. & Ayensu,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Vellozia_prolifera,Vellozia_prolifera,Vellozia prolifera Mello-Silva,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_punctulata,Vellozia_punctulata,Vellozia punctulata Seub.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_religiosa,Vellozia_religiosa,Vellozia religiosa ,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_resinosa,Vellozia_resinosa,Vellozia resinosa Mart.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_scoparia,Vellozia_scoparia,Vellozia scoparia Goethart & Henrard,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_sellowii,Vellozia_sellowii,Vellozia sellowii Seub.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_semirii,Vellozia_semirii,Vellozia semirii ,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_sessilis,Vellozia_sessilis,Vellozia sessilis L.B.Sm. ex Mello-Silva,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Vellozia_seubertiana,Vellozia_seubertiana,Vellozia seubertiana Goethart & Henrard,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_spiralis,Vellozia_spiralis,Vellozia spiralis L.B.Sm.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_stenocarpa,Vellozia_stenocarpa,Vellozia stenocarpa Mello-Silva,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_stiptata,Vellozia_stiptata,Vellozia stipitata L.B.Sm. & Ayensu,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_strangii,Vellozia_strangii,Vellozia strangii ,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_strangiixvariabilis,Vellozia_strangiixvariabilis,Vellozia strangiixvariabilis ,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_streptophylla,Vellozia_streptophylla,Vellozia streptophylla L.B.Sm.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_subscabra,Vellozia_subscabra,Vellozia subscabra Mikan,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_taxifolia,Vellozia_taxifolia,Vellozia taxifolia (Mart. ex Schult. & Schult.f.) Mart. ex Seub.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_tillandsioides,Vellozia_tillandsioides,Vellozia tillandsioides Mello-Silva,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_tragacantha,Vellozia_tragacantha,Vellozia tragacantha (Mart. ex Schult. & Schult.f.) Mart. ex Seub.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,0
Vellozia_tubiflora,Vellozia_tubiflora,Vellozia tubiflora (A.Rich.) Kunth,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,1
Vellozia_variabilis,Vellozia_variabilis,Vellozia alutacea Pohl,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,1,1
Vellozia_variegata,Vellozia_variegata,Vellozia variegata Goethart & Henrard,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Xerophyta_cf_eglandulosa,x,NA,(double entry),(double entry),,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Xerophyta_dasylirioides,Xerophyta_dasylirioides,Xerophyta dasylirioides Baker,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Xerophyta_eglandulosa,Xerophyta_eglandulosa,Xerophyta eglandulosa H.Perrier,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Xerophyta_elegans,Xerophyta_elegans,Xerophyta elegans (Balf.) Baker,Xerophyta,0.61,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Xerophyta_equisetoides,Xerophyta_equisetoides,Xerophyta equisetoides Baker,Xerophyta,0.61,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Xerophyta_humilis,Xerophyta_humilis,Xerophyta humilis (Baker) T.Durand & Schinz,Xerophyta,0.61,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Xerophyta_cf_pauciramosa,Xerophyta_pauciramosa,Xerophyta pauciramosa,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Xerophyta_pectinata,Xerophyta_pectinata,Xerophyta dasylirioides (Baker) H.Perrier,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Xerophyta_pinifolia,Xerophyta_pinifolia,Xerophyta pinifolia Lam. ex Poir.,Vellozia,0.67,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Xerophyta_retinervis,Xerophyta_retinervis,Xerophyta retinervis Baker,Xerophyta,0.61,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Xerophyta_schlechteri,Xerophyta_schlechteri,Xerophyta schlechteri (Baker) N.L.Menezes,Xerophyta,0.61,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Xerophyta_sp1,Xerophyta_sp1,NA,Xerophyta,0.61,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Xerophyta_sp2,Xerophyta_sp2,NA,Xerophyta,0.61,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Xerophyta_sp3,Xerophyta_sp3,NA,Xerophyta,0.61,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Xerophyta_sp4,Xerophyta_sp4,NA,Xerophyta,0.61,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Xerophyta_sp5,Xerophyta_sp5,NA,Xerophyta,0.61,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Xerophyta_sp6,Xerophyta_sp6,NA,Xerophyta,0.61,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Xerophyta_sp7,Xerophyta_sp7,NA,Xerophyta,0.61,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Xerophyta_villosa,Xerophyta_villosa,Xerophyta villosa (Baker) L.B.Sm. & Ayensu,Xerophyta,0.61,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
Xerophyta_viscosa,Xerophyta_viscosa,Xerophyta viscosa Baker,Xerophyta,0.61,,(tree obtained directly from author),,,Alcantara et al. 2018,,0,1
