hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,,ITS (nuclear),ETS (nuclear),trnL-F (plastid),trnE-UUC (plastid),,Reference,,campo_rupestre,non_campo_rupestre
Chamaecrista_densifolia,Chamaecrista_densifolia,Chamaecrista densifolia (Benth.) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835371.1,,,,,Souza et al. 2019,,1,1
Chamaecrista_depauperata,Chamaecrista_depauperata,Chamaecrista depauperata Conc. et al.,Baseophyllum,0.135,,FJ009850.1,,FJ009904.1,,,Rando et al. 2016,,1,0
Chamaecrista_desvauxii_var_devauxii,Chamaecrista_desvauxii_var_devauxii,Chamaecrista desvauxii (Collad.) Killip,Chamaecrista,0.5,,FJ009864.1,,FJ009918.1,,,Rando et al. 2016,,1,1
Chamaecrista_desvauxii_var_langsdorfii,Chamaecrista_desvauxii_var_langsdorfii,Chamaecrista desvauxii (Collad.) Killip,Chamaecrista,0.5,,FJ009866.1,,FJ009920.1,,,Rando et al. 2016,,1,1
Chamaecrista_desvauxii_var_latispula,Chamaecrista_desvauxii_var_latispula,Chamaecrista desvauxii (Collad.) Killip,Chamaecrista,0.5,,FJ009867.1,KP967061.1,FJ009921.1,KP967008.1,,Rando et al. 2016,,1,1
Chamaecrista_desvauxii_var_mollissima,Chamaecrista_desvauxii_var_mollissima,Chamaecrista desvauxii (Collad.) Killip,Chamaecrista,0.5,,FJ009865.1,,FJ009919.1,,,Rando et al. 2016,,1,1
Chamaecrista_diphylla,Chamaecrista_diphylla,Chamaecrista diphylla (L.) Greene,Chamaecrista,0.5,,FJ009868.1,,FJ009922.1,,,Rando et al. 2016,,1,1
Chamaecrista_distichoclada,Chamaecrista_distichoclada,Chamaecrista distichoclada (Benth.) H.S.Irwin & Barneby,Chamaecrista,0.5,,KP967078.1,KP967060.1,KP966906.1,KP966961.1,,Rando et al. 2016,,1,0
Chamaecrista_elata,Chamaecrista_elata,Chamaecrista elata A. O. Souza & M. J. Silva,subsect Absus,0.311,,MH835372.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_fagonioides,Chamaecrista_fagonioides,Chamaecrista fagonioides (Vogel) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835373.1,,,,,Souza et al. 2019,,1,1
Chamaecrista_feliciana,Chamaecrista_feliciana,Chamaecrista feliciana (H.S.Irwin & Barneby) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835374.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_filicifolia,Chamaecrista_filicifolia,Chamaecrista filicifolia (Benth.) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835375.1,,,,,Souza et al. 2019,,1,1
Chamaecrista_flexuosa,Chamaecrista_flexuosa,Chamaecrista flexuosa (L.) Greene,Chamaecrista,0.5,,FJ009858.1,KP967059.1,FJ009912.1,KP966962.1,,Rando et al. 2016,,1,1
Chamaecrista_floribunda,Chamaecrista_floribunda,Chamaecrista floribunda M. J. Silva & A. O. Souza,subsect Absus,0.311,,MH835376.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_glaucofilix,Chamaecrista_glaucofilix,Chamaecrista glaucofilix (H.S.Irwin & Barneby) H.S.Irwin & Barneby,subsect Absus,0.311,,FJ009834.1,,FJ009888.1,,,Rando et al. 2016,,1,0
Chamaecrista_gymnothyrsa,Chamaecrista_gymnothyrsa,Chamaecrista gymnothyrsa (H.S.Irwin & Barneby) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835378.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_hispidula,Chamaecrista_hispidula,Chamaecrista hispidula (Vahl) H.S.Irwin & Barneby,subsect Absus,0.311,,FJ009833.1,,FJ009887.1,,,Rando et al. 2016,,0,1
Chamaecrista_irwiniana,Chamaecrista_irwiniana,Chamaecrista irwiniana A.O. Souza & M.J. Silva,subsect Absus,0.311,,MH835380.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_cf_isidorea,Chamaecrista_isidorea,Chamaecrista isidorea (Benth.) H.S.Irwin & Barneby ,subsect Absus,0.311,,MH835363.1,,,,,Souza et al. 2019,,1,1
Chamaecrista_jacobinea,Chamaecrista_jacobinea,Chamaecrista jacobinea (Benth.) H.S.Irwin & Barneby,subsect Absus,0.311,,FJ009827.1,,FJ009882.1,,,Rando et al. 2016,,1,0
Chamaecrista_lagotois_Rando1133,Chamaecrista_lagotois,Chamaecrista lagotois H.S.Irwin & Barneby,Chamaecrista,0.5,,KP967080.1,KP967057.1,KP966908.1,,,Rando et al. 2016,,1,0
Chamaecrista_latifolia_Rando1127,Chamaecrista_latifolia,Chamaecrista latifolia (Benth.) Rando,Chamaecrista,0.5,,KP967082.1,KP967055.1,KP966910.1,KP966965.1,,Rando et al. 2016,,1,0
Chamaecrista_lineata_Rando958,Chamaecrista_lineata,Chamaecrista lineata (Sw.) Greene,Chamaecrista,0.5,,KP967085.1,,KP966912.1,KP966967.1,,Rando et al. 2016,,0,1
Chamaecrista_macedoi,Chamaecrista_macedoi,Chamaecrista macedoi (H.S.Irwin & Barneby) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835381.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_mollicaulis,Chamaecrista_mollicaulis,Chamaecrista mollicaulis (Harms) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835382.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_mucronata_Siqueira825,Chamaecrista_mucronata,Chamaecrista mucronata (Spreng.) H.S.Irwin & Barneby,Chamaecrista,0.5,,,KP967049.1,KP966914.1,KP966969.1,,Rando et al. 2016,,1,1
Chamaecrista_multipennis,Chamaecrista_multipennis,Chamaecrista multipennis (H.S.Irwin & Barneby) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835383.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_multiseta,Chamaecrista_multiseta,Chamaecrista multiseta (Benth.) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835384.1,,,,,Souza et al. 2019,,1,1
Chamaecrista_nanodes,Chamaecrista_nanodes,Chamaecrista nanodes (H.S.Irwin & Barneby) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835385.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_neesiana,Chamaecrista_neesiana,Chamaecrista neesiana (Mart. ex Benth.) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835386.1,,,,,Souza et al. 2019,,1,1
Chamaecrista_nictitans_subsp_brachypoda,Chamaecrista_nictitans_subsp_brachypoda,Chamaecrista nictitans (L.) Moench,Chamaecrista,0.5,,FJ009855.1,,FJ009909.1,,,Rando et al. 2016,,0,1
Chamaecrista_nictitans_var_disadena,Chamaecrista_nictitans_var_disadena,Chamaecrista nictitans (L.) Moench,Chamaecrista,0.5,,FJ009852.1,,FJ009906.1,,,Rando et al. 2016,,0,1
Chamaecrista_nictitans_var_ramosa,Chamaecrista_nictitans_var_ramosa,Chamaecrista nictitans (L.) Moench,Chamaecrista,0.5,,FJ009853.1,,FJ009907.1,,,Rando et al. 2016,,0,1
Chamaecrista_nummulariifolia,Chamaecrista_nummulariifolia,Chamaecrista nummulariifolia (Benth.) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835387.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_obolaria,Chamaecrista_obolaria,Chamaecrista obolaria (H.S. Irwin & Barneby) A.O. Souza & M.J. Silva,subsect Absus,0.311,,MH835388.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_olesiphylla_Rando632,Chamaecrista_olesiphylla,Chamaecrista olesiphylla (Vogel) H.S.Irwin & Barneby,Chamaecrista,0.5,,KP967088.1,KP967046.1,KP966915.1,KP966971.1,,Rando et al. 2016,,1,0
Chamaecrista_onusta,Chamaecrista_onusta,Chamaecrista onusta H.S.Irwin & Barneby,Apoucoutia,0.08,,FJ009824.1,,FJ009879.1,,,Rando et al. 2016,,0,1
Chamaecrista_pachyclada,Chamaecrista_pachyclada,Chamaecrista pachyclada (Harms) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835389.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_papillata_Rando1109,Chamaecrista_papillata,Chamaecrista papillata H.S.Irwin & Barneby,Chamaecrista,0.5,,KP967094.1,KP967042.1,KP966921.1,KP966977.1,,Rando et al. 2016,,1,1
Chamaecrista_pascuorum,Chamaecrista_pascuorum,Chamaecrista pascuorum (Benth.) H.S.Irwin & Barneby,Chamaecrista,0.5,,FJ009851.1,,FJ009905.1,KP966979.1,,Rando et al. 2016,,1,1
Chamaecrista_philippi,Chamaecrista_philippi,Chamaecrista philippi (H.S.Irwin & Barneby) H.S.Irwin & Barneby,subsect Absus,0.311,,FJ009838.1,,FJ009892.1,,,Rando et al. 2016,,1,0
Chamaecrista_pilosa,Chamaecrista_pilosa,Chamaecrista pilosa (L.) Greene,Chamaecrista,0.5,,FJ009856.1,,FJ009910.1,,,Rando et al. 2016,,1,1
Chamaecrista_planaltoana,Chamaecrista_planaltoana,Chamaecrista planaltoana (Harms) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835390.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_polita,Chamaecrista_polita,Chamaecrista polita (H.S.Irwin & Barneby) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835391.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_potentilla_Queiroz7606,Chamaecrista_potentilla,Chamaecrista potentilla (Mart. ex Benth.) H.S.Irwin & Barneby,Chamaecrista,0.5,,KP967097.1,KP967040.1,FJ009913.1,,,Rando et al. 2016,,1,0
Chamaecrista_repens_Carvalho48,Chamaecrista_repens,Chamaecrista repens (Vogel) H.S.Irwin & Barneby,Chamaecrista,0.5,,,KP967036.1,KP966926.1,,,Rando et al. 2016,,1,1
Chamaecrista_roraimae_Harley54793,Chamaecrista_roraimae,Chamaecrista roraimae (Benth.) Gleason,Chamaecrista,0.5,,,KP967035.1,,KP966985.1,,Rando et al. 2016,,1,1
Chamaecrista_rossicorum_Rando1007,Chamaecrista_rossicorum,Chamaecrista rossicorum (H.S. Irwin & Barneby) Rando,Chamaecrista,0.5,,KP967100.1,,KP966930.1,KP966987.1,,Rando et al. 2016,,1,0
Chamaecrista_rotundata_var_grandistipula_Rando994,Chamaecrista_rotundata_var_grandistipula,Chamaecrista rotundata (Vogel) H.S.Irwin & Barneby,Chamaecrista,0.5,,KP967105.1,KP967027.1,KP966935.1,KP966992.1,,Rando et al. 2016,,1,0
Chamaecrista_rotundata_var_interstes_Rando1236,Chamaecrista_rotundata_var_interstes,Chamaecrista rotundata (Vogel) H.S.Irwin & Barneby,Chamaecrista,0.5,,KP967108.1,KP967023.1,KP966939.1,KP966996.1,,Rando et al. 2016,,1,0
Chamaecrista_rotundata_var_rotundata_vanderBerg1333,Chamaecrista_rotundata_var_rotundata,Chamaecrista rotundata (Vogel) H.S.Irwin & Barneby,Chamaecrista,0.5,,,KP967021.1,KP966941.1,,,Rando et al. 2016,,1,0
Chamaecrista_rotundifolia_var_grandiflora,Chamaecrista_rotundifolia_var_grandiflora,Chamaecrista rotundifolia (Pers.) Greene,Chamaecrista,0.5,,FJ009857.1,,FJ009911.1,,,Rando et al. 2016,,1,1
Chamaecrista_rupestrium,Chamaecrista_rupestrium,Chamaecrista rupestrium H.S.Irwin & Barneby,subsect Absus,0.311,,FJ009835.1,,FJ009889.1,,,Rando et al. 2016,,1,0
Chamaecrista_scabra,Chamaecrista_scabra,Chamaecrista scabra (Pohl ex Benth.) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835393.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_setosa,Chamaecrista_setosa,Chamaecrista setosa (Vogel) H.S.Irwin & Barneby,subsect Absus,0.311,,FJ009842.1,,FJ009896.1,KP966998.1,,Rando et al. 2016,,1,1
Chamaecrista_setosa_var_detonsa,Chamaecrista_setosa_var_detonsa,Chamaecrista setosa (Vogel) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835394.1,,,,,Souza et al. 2019,,0,1
Chamaecrista_simplifacta_Rando1148,Chamaecrista_simplifacta,Chamaecrista simplifacta H.S.Irwin & Barneby,Chamaecrista,0.5,,KP967109.1,KP967018.1,KP966943.1,KP967000.1,,Rando et al. 2016,,1,0
Chamaecrista_sincorana,Chamaecrista_sincorana,Chamaecrista sincorana (Harms) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835395.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_sparsifolia,Chamaecrista_sparsifolia,Chamaecrista sparsifolia A. O. Souza & M. J. Silva,subsect Absus,0.311,,MH835396.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_speciosa,Chamaecrista_speciosa,Chamaecrista speciosa Conc. et al.,subsect Absus,0.311,,FJ009839.1,,FJ009893.1,,,Rando et al. 2016,,1,0
Chamaecrista_strictula,Chamaecrista_strictula,Chamaecrista strictula (H.S.Irwin & Barneby) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835397.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_supplex,Chamaecrista_supplex,Chamaecrista supplex (Mart. ex Benth.) Britton & Rose ex Britton & Killip,Chamaecrista,0.5,,FJ009869.1,,FJ009923.1,,,Rando et al. 2016,,0,1
Chamaecrista_swainsonii_Conceicao822,Chamaecrista_swainsonii,Chamaecrista swainsonii (Benth.) H.S.Irwin & Barneby,Chamaecrista,0.5,,KP967111.1,KP967017.1,,,,Rando et al. 2016,,1,1
Chamaecrista_tenuicaulis,Chamaecrista_tenuicaulis,Chamaecrista tenuicaulis A. O. Souza & M. J. Silva,subsect Absus,0.311,,MH835398.1,,,,,Souza et al. 2019,,1,0
Chamaecrista_tragacanthoides_var_rasa_Rando969,Chamaecrista_tragacanthoides_var_rasa,Chamaecrista tragacanthoides (Mart. ex Benth.) H.S.Irwin & Barneby,Chamaecrista,0.5,,KP967087.1,KP967015.1,KP966946.1,KP967003.1,,Rando et al. 2016,,1,0
Chamaecrista_tragacanthoides_var_tragacanthoides,Chamaecrista_tragacanthoides_var_tragacanthoides,Chamaecrista tragacanthoides (Mart. ex Benth.) H.S.Irwin & Barneby,Chamaecrista,0.5,,KP967114.1,KP967013.1,KP966948.1,KP967004.1,,Rando et al. 2016,,1,0
Chamaecrista_ulmea,Chamaecrista_ulmea,Chamaecrista ulmea H.S.Irwin & Barneby,Chamaecrista,0.5,,KP967115.1,KP967012.1,KP966949.1,KP967005.1,,Rando et al. 2016,,1,0
Chamaecrista_unijuga,Chamaecrista_unijuga,Chamaecrista unijuga (Benth.) Conc. et al.,Baseophyllum,0.135,,FJ009845.1,,FJ009899.1,,,Rando et al. 2016,,0,1
Chamaecrista_urophyllidia,Chamaecrista_urophyllidia,Chamaecrista urophyllidia (H.S.Irwin & Barneby) H.S.Irwin & Barneby,subsect Absus,0.311,,FJ009840.1,,FJ009894.1,,,Rando et al. 2016,,1,1
Chamaecrista_venulosa,Chamaecrista_venulosa,Chamaecrista venulosa (Benth.) H.S.Irwin & Barneby,Chamaecrista,0.5,,,KP967009.1,KP966951.1,,,Rando et al. 2016,,1,0
Chamaecrista_viscosa_var_paraguayensis,Chamaecrista_viscosa_var_paraguayensis,Chamaecrista viscosa (Kunth) H.S.Irwin & Barneby,subsect Absus,0.311,,MH835399.1,,,,,Souza et al. 2019,,0,1
Senna_cana,Senna_cana,Senna cana (Nees & Mart.) H.S.Irwin & Barneby,(outgroup),not in BAMM,,MH835400.1,,,,,Souza et al. 2019,,1,1
Senna_corifolia_var_caesia,Senna_corifolia_var_caesia,Senna corifolia (Benth.) H.S.Irwin & Barneby,(outgroup),not in BAMM,,MH835401.1,,,,,Souza et al. 2019,,1,0
Senna_corifolia_var_corifolia,Senna_corifolia_var_corifolia,Senna corifolia (Benth.) H.S.Irwin & Barneby,(outgroup),not in BAMM,,MH835402.1,,,,,Souza et al. 2019,,1,0
Senna_gardneri,Senna_gardneri,Senna gardneri (Benth.) H.S.Irwin & Barneby,(outgroup),not in BAMM,,FJ009822.1,,FJ009877.1,,,Rando et al. 2016,,0,1
Senna_pendula,Senna_pendula,Senna pendula (Humb.& Bonpl.ex Willd.) H.S.Irwin & Barneby,(outgroup),not in BAMM,,MH835403.1,,,,,Souza et al. 2019,,0,1
Senna_rugosa,Senna_rugosa,Senna rugosa (G.Don) H.S.Irwin & Barneby,(outgroup),not in BAMM,,MH835404.1,,,,,Souza et al. 2019,,1,1
Chamaecrista_campestris2,x,Chamaecrista campestris H.S.Irwin & Barneby,(double entry),not in BAMM,,MH835361.1,,,,,Souza et al. 2019,,(double entry),(double entry)
Chamaecrista_choriophylla_Rando907,x,Chamaecrista choriophylla (Vogel) H.S.Irwin & Barneby,,,,,KP967064.1,KP966903.1,,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_glaucofilix2,x,Chamaecrista glaucofilix (H.S.Irwin & Barneby) H.S.Irwin & Barneby,(double entry),not in BAMM,,MH835377.1,,,,,Souza et al. 2019,,(double entry),(double entry)
Chamaecrista_hispidula2,x,Chamaecrista hispidula (Vahl) H.S.Irwin & Barneby,(double entry),not in BAMM,,MH835379.1,,,,,Souza et al. 2019,,(double entry),(double entry)
Chamaecrista_lagotois_Rando1029,x,Chamaecrista lagotois H.S.Irwin & Barneby,(double entry),not in BAMM,,KP967079.1,KP967058.1,KP966907.1,KP966963.1,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_latifolia_Rando1024,x,Chamaecrista latifolia (Benth.) Rando,(double entry),not in BAMM,,KP967081.1,KP967056.1,KP966909.1,KP966964.1,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_lineata_Rando954,x,NA,(double entry),not in BAMM,,KP967084.1,,,,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_mucronata_Rando879,x,Chamaecrista mucronata (Spreng.) H.S.Irwin & Barneby,(double entry),not in BAMM,,KP967086.1,KP967050.1,KP966913.1,KP966968.1,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_olesiphylla_Rando1147,x,Chamaecrista olesiphylla (Vogel) H.S.Irwin & Barneby,(double entry),not in BAMM,,KP967089.1,KP967047.1,KP966916.1,KP966972.1,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_olesiphylla_VandenBerg1350,x,Chamaecrista olesiphylla (Vogel) H.S.Irwin & Barneby,(double entry),not in BAMM,,KP967091.1,KP967045.1,KP966918.1,KP966974.1,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_papillata_Borba1922,x,Chamaecrista papillata H.S.Irwin & Barneby,(double entry),not in BAMM,,KP967095.1,KP967044.1,,KP966978.1,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_papillata_Rando1011,x,Chamaecrista papillata H.S.Irwin & Barneby,(double entry),not in BAMM,,KP967093.1,KP967043.1,KP966920.1,KP966976.1,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_potentilla_Rando1139,x,Chamaecrista potentilla (Mart. ex Benth.) H.S.Irwin & Barneby,(double entry),not in BAMM,,KP967096.1,KP967038.1,KP966923.1,KP966980.1,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_potentilla_Rando1245,x,Chamaecrista potentilla (Mart. ex Benth.) H.S.Irwin & Barneby,(double entry),not in BAMM,,,KP967037.1,KP966924.1,KP966981.1,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_potentilla_Rando814,x,Chamaecrista potentilla (Mart. ex Benth.) H.S.Irwin & Barneby,(double entry),not in BAMM,,,KP967039.1,KP966922.1,,,Rando et al. 2016,,(double entry),(double entry)
Chamaecrista_repens_Giulietti2325,x,Chamaecrista repens (Vogel) H.S.Irwin & Barneby,(double entry),not in BAMM,,KP967098.1,,KP966925.1,KP966982.1,,Rando et al. 2016,,(double entry),(double entry)
