hpd_names,cleaned_names_Marcetieae,cleaned_names_Melastomateae,accepted_name,clade,sampling_fraction,,accd,ITS,psbK-psbK,atpH-atpF,ETS,trnS-trnG,,Reference,,campo_rupestre,non_campo_rupestre
Marcetia_ericoides,Marcetia_ericoides,x,Marcetia ericoides (Spreng.) Cogn.,Marcetia,0.51,,JQ730310.1,JQ730099.1,JQ730518.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Marcetia_formosa,Marcetia_formosa,x,Marcetia formosa Wurdack,Marcetia,0.51,,,JQ730099.1,,KU501144.1,KU501035.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Marcetia_grandiflora,Marcetia_grandiflora,x,Marcetia grandiflora Markgr.,Marcetia,0.51,,KU501195.1,KU501090.1,,KU501145.1,KU501036.1,KU500965.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Marcetia_harleyi,Marcetia_harleyi,x,Marcetia harleyi Wurdack,Marcetia,0.51,,KU501196.1,JQ730100.1,JQ730519.1,,,KU500966.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Marcetia_latifolia,Marcetia_latifolia,x,Marcetia latifolia Naudin,Marcetia,0.51,,,JQ730101.1,JQ730520.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Marcetia_macrophylla,Marcetia_macrophylla,x,Marcetia macrophylla Wurdack,Marcetia,0.51,,,JQ730101.1,,KU501138.1,KU501030.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Marcetia_mucugensis,Marcetia_mucugensis,x,Marcetia mucugensis Wurdack,Marcetia,0.51,,KU501188.1,KU501084.1,,KU501142.1,KU501033.1,KU500959.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Marcetia_sp_Rocha318,Marcetia_sp1,x,NA,Marcetia,0.51,,KU501192.1,KU501088.1,,KU501146.1,KU501038.1,KU500963.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Marcetia_sp_Rocha335,Marcetia_sp2,x,NA,Marcetia,0.51,,KU501198.1,KU501093.1,,,KU501037.1,KU500967.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Marcetia_taxifolia,Marcetia_taxifolia,x,Marcetia taxifolia (A. St.-Hil.) DC.,Marcetia,0.51,,JQ730311.1,JQ730102.1,JQ730521.1,KU501148.1,KU501041.1,KU500968.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Marcetia_velutina,Marcetia_velutina,x,Marcetia velutina Markgr.,Marcetia,0.51,,JQ730311.1,JQ730102.1,,KU501141.1,KU501032.1,KU500970.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Marcetia_viscida,Marcetia_viscida,x,Marcetia viscida Wurdack,Marcetia,0.51,,KU501191.1,KU501087.1,,KU501147.1,KU501039.1,KU500962.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Melastoma_affine,x,x,Melastoma malabathricum L.,(not in BAMM),(not in BAMM),,,GQ265878.1,,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Melastoma_candidum,x,x,Melastoma malabathricum L.,(not in BAMM),(not in BAMM),,JQ730312.1,JQ730103.1,JQ730522.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Melastoma_denticulatum,x,x,Melastoma denticulatum Labill.,(not in BAMM),(not in BAMM),,JQ730313.1,JQ730104.1,JQ730523.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Melastoma_dodecandrum,x,x,Melastoma dodecandrum Lour.,(not in BAMM),(not in BAMM),,,GQ265883.1,,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Melastoma_intermedium,x,x,Melastoma intermedium Dunn,(not in BAMM),(not in BAMM),,,GQ265879.1,,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Melastoma_malabathricum,x,x,Melastoma malabathricum L.,(not in BAMM),(not in BAMM),,JQ730314.1,JQ730105.1,JQ730524.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Melastoma_sanguineum,x,x,Melastoma sanguineum Sims,(not in BAMM),(not in BAMM),,JQ730315.1,JQ730106.1,JQ730525.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Meriania_longifolia,x,x,Meriania longifolia (Naudin) Cogn.,(not in BAMM),(not in BAMM),,JQ730316.1,AY460454.1,JQ730526.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Miconia_dodecandra,x,x,Miconia dodecandra Cogn.,(not in BAMM),(not in BAMM),,JQ730317.1,AY460506.1,JQ730527.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Miconia_tomentosa,x,x,Miconia tomentosa (Rich.) D. Don ex DC.,(not in BAMM),(not in BAMM),,JQ730318.1,EF418905.1,JQ730528.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Microlepis_oleifolia,x,Microlepis_oleifolia,Microlepis oleifolia (DC.) Triana,(not in BAMM),(not in BAMM),,JQ730319.1,JQ730107.1,JQ730529.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Microlicia_fulva,x,x,Microlicia fulva (Spreng.) Cham.,(not in BAMM),(not in BAMM),,KU501199.1,KU501094.1,,KU501156.1,KU501051.1,KU500969.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Monochaetum_bonplandii,x,Monochaetum_bonplandii,Monochaetum bonplandii (Humb. & Bonpl.) Naudin,(not in BAMM),(not in BAMM),,JQ730320.1,JQ730108.1,JQ730530.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Monochaetum_discolor,x,Monochaetum_discolor,Monochaetum discolor H. Karst. ex Triana,(not in BAMM),(not in BAMM),,JQ730321.1,JQ730109.1,JQ730531.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Monochaetum_humboldtianum,x,Monochaetum_humboldtianum,Monochaetum humboldtianum Kunth ex Walp.,(not in BAMM),(not in BAMM),,JQ730322.1,JQ730110.1,JQ730532.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Monochaetum_meridense,x,Monochaetum_meridense,Monochaetum meridense Naudin,(not in BAMM),(not in BAMM),,JQ730323.1,JQ730111.1,JQ730533.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Monochaetum_polyneuron,x,Monochaetum_polyneuron,Monochaetum polyneuron Triana,(not in BAMM),(not in BAMM),,JQ730324.1,JQ730112.1,JQ730534.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Monochaetum_tenellum,x,Monochaetum_tenellum,Monochaetum tenellum Naudin,(not in BAMM),(not in BAMM),,,AY460432.1,,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Monochaetum_uribei,x,Monochaetum_uribei,Monochaetum uribei Wurdack,(not in BAMM),(not in BAMM),,JQ730325.1,JQ730113.1,JQ730535.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Monochaetum_vulcanicum,x,Monochaetum_vulcanicum,Monochaetum vulcanicum Cogn.,(not in BAMM),(not in BAMM),,JQ730326.1,JQ730114.1,JQ730536.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Nepsera_aquatica,Nepsera_aquatica,x,Nepsera aquatica (Aubl.) Naudin,Nepsera,0.9,,JQ730327.1,JQ730115.1,JQ730537.1,KU501131.1,,KU500980.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Osbeckia_australiana,x,x,Osbeckia australiana Naudin,(not in BAMM),(not in BAMM),,JQ730328.1,JQ730116.1,JQ730538.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Osbeckia_courtallensis,x,x,Osbeckia courtallensis Gamble,(not in BAMM),(not in BAMM),,,JQ730117.1,,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Osbeckia_nepalensis,x,x,Osbeckia nepalensis Hook. f.,(not in BAMM),(not in BAMM),,JQ730329.1,JQ730118.1,JQ730539.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Osbeckia_stellata,x,x,Osbeckia stellata Buch.-Ham. ex Ker Gawl.,(not in BAMM),(not in BAMM),,JQ730330.1,JQ730119.1,JQ730540.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Pachyloma_huberioides,x,x,Pachyloma huberioides (Naudin) Triana,(not in BAMM),(not in BAMM),,JQ730331.1,JQ730120.1,JQ730541.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Physeterostemon_thomasii,x,x,"Physeterostemon thomasii Amorim, F.A. Michelangeli & R. Goldenb.",(not in BAMM),(not in BAMM),,JQ730332.1,JQ730121.1,JQ730542.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Pilocosta_campanensis,x,Pilocosta_campanensis,Pilocosta campanensis (Almeda & Whiffin) Almeda,(not in BAMM),(not in BAMM),,JQ730333.1,JQ730122.1,JQ730543.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Pilocosta_nana,x,Pilocosta_nana,Pilocosta nana (Standl.) Almeda & Whiffin,(not in BAMM),(not in BAMM),,JQ730334.1,JQ730123.1,JQ730544.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Pilocosta_nubicola,x,Pilocosta_nubicola,Pilocosta nubicola Almeda,(not in BAMM),(not in BAMM),,JQ730335.1,JQ730124.1,JQ730545.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Pilocosta_oerstedii,x,Pilocosta_oerstedii,Pilocosta oerstedii (Triana) Almeda & Whiffin,(not in BAMM),(not in BAMM),,JQ730336.1,JQ730125.1,JQ730546.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Pterogastra_divaricata,x,x,Pterogastra divaricata (Bonpl.) Naudin,(not in BAMM),(not in BAMM),,JQ730337.1,JQ730126.1,JQ730547.1,KU501159.1,KF462875.1,KU500952.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Pterogastra_minor,x,x,Pterogastra minor Naudin,(not in BAMM),(not in BAMM),,JQ730338.1,JQ730127.1,JQ730548.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Pterolepis_alpestris,x,x,Pterolepis alpestris Triana,(not in BAMM),(not in BAMM),,JQ730339.1,JQ730129.1,JQ730549.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Pterolepis_glomerata,x,x,Pterolepis glomerata (Rottb.) Miq.,(not in BAMM),(not in BAMM),,JQ730340.1,JQ730130.1,JQ730550.1,KU501158.1,KF462876.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Pterolepis_parnassifolia,x,x,Pterolepis parnassifolia (DC.) Triana,(not in BAMM),(not in BAMM),,JQ730341.1,JQ730131.1,JQ730551.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Pterolepis_repanda,x,x,Pterolepis repanda (DC.) Triana,(not in BAMM),(not in BAMM),,JQ730342.1,JQ730132.1,JQ730552.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Pterolepis_rotundifolia,x,x,Pterolepis rotundifolia Wurdack,(not in BAMM),(not in BAMM),,JQ730343.1,JQ730133.1,JQ730553.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Pterolepis_sp_Nee55383,x,x,NA,(not in BAMM),(not in BAMM),,JQ730344.1,JQ730128.1,JQ730554.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Rhexia_alifanus,x,x,Rhexia alifanus Walter,(not in BAMM),(not in BAMM),,,DQ985623.1,,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Rhexia_aristosa,x,x,Rhexia aristosa Britton,(not in BAMM),(not in BAMM),,JQ730345.1,JQ730134.1,JQ730555.1,,KF462878.1,KU500982.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Rhexia_cubensis,x,x,Rhexia cubensis Griseb.,(not in BAMM),(not in BAMM),,,DQ985627.1,,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Rhexia_lutea,x,x,Rhexia lutea Walter,(not in BAMM),(not in BAMM),,,DQ985628.1,,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Rhexia_mariana,x,x,Rhexia mariana L.,(not in BAMM),(not in BAMM),,,JQ730135.1,JQ730556.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Rhexia_nuttallii,x,x,Rhexia nuttallii C.W. James,(not in BAMM),(not in BAMM),,,DQ985634.1,,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Rhexia_parviflora,x,x,Rhexia parviflora Chapm.,(not in BAMM),(not in BAMM),,,DQ985636.1,,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Rhexia_petiolata,x,x,Rhexia petiolata Walter,(not in BAMM),(not in BAMM),,,DQ985637.1,,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Rhexia_salicifolia,x,x,Rhexia salicifolia Kral & Bostick,(not in BAMM),(not in BAMM),,,DQ985639.1,,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Rhexia_virginica,x,x,Rhexia virginica L.,(not in BAMM),(not in BAMM),,JQ730346.1,JQ730136.1,JQ730557.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Rhynchanthera_bracteata,x,x,Rhynchanthera bracteata Triana,(not in BAMM),(not in BAMM),,JQ730347.1,JQ730137.1,JQ730558.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Rhynchanthera_grandiflora,x,x,Rhynchanthera grandiflora (Aubl.) DC.,(not in BAMM),(not in BAMM),,JQ730348.1,JQ730138.1,JQ730559.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Rhynchanthera_serrulata,x,x,Rhynchanthera serrulata (Rich.) DC.,(not in BAMM),(not in BAMM),,JQ730349.1,AY460435.1,JQ730560.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Rousseauxia_andringitrensis,x,x,Rousseauxia andringitrensis (H. Perrier) Jacq.-Fí©l.,(not in BAMM),(not in BAMM),,JQ730350.1,JQ730139.1,JQ730561.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Rousseauxia_minimifolia,x,x,Rousseauxia minimifolia (Jum. & H. Perrier) Jacq.-Fí©l.,(not in BAMM),(not in BAMM),,JQ730351.1,JQ730140.1,JQ730562.1,KU501150.1,KF462882.1,KU500986.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,(outgroup),(outgroup)
Sandemania_hoehnei,Sandemania_hoehnei,x,Sandemania hoehnei (Cogn.) Wurdack,Sandemania,1,,JQ730352.1,JQ730141.1,JQ730563.1,,KU501045.1,KU500972.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Siphanthera_arenaria,Siphanthera_arenaria,x,Siphanthera arenaria (DC.) Cogn.,Siphanthera,0.6,,KU501203.1,KU501099.1,,,KU501048.1,KU500974.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Siphanthera_cordata,Siphanthera_cordata,x,Siphanthera cordata Pohl ex DC.,Siphanthera,0.6,,KU501212.1,,,KU501151.1,KU501042.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Siphanthera_cordifolia,Siphanthera_cordifolia,x,Siphanthera cordifolia (Benth.) Gleason,Siphanthera,0.6,,KU501201.1,KU501096.1,,,KU501049.1,KU500973.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Siphanthera_dawsonii,Siphanthera_dawsonii,x,Siphanthera dawsonii Wurdack,Siphanthera,0.6,,KU501211.1,,,,KU501043.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Siphanthera_fasciculata,Siphanthera_fasciculata,x,Siphanthera fasciculata (Gleason) Almeda & O.R. Robinson,Siphanthera,0.6,,,KU501097.1,,KU501152.1,KU501044.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Siphanthera_foliosa,Siphanthera_foliosa,x,Siphanthera foliosa (Naudin) Wurdack,Siphanthera,0.6,,KU501202.1,KU501098.1,,KU501154.1,KU501047.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Siphanthera_gracillima,Siphanthera_gracillima,x,Siphanthera gracillima (Naudin) Wurdack,Siphanthera,0.6,,JQ730353.1,JQ730142.1,JQ730564.1,KU501155.1,KF462883.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Siphanthera_hostmannii,Siphanthera_hostmannii,x,Siphanthera hostmannii Cogn.,Siphanthera,0.6,,JQ730353.1,JQ730142.1,,KU501153.1,KU501046.1,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Siphanthera_paludosa,Siphanthera_paludosa,x,Siphanthera paludosa (DC.) Cogn.,Siphanthera,0.6,,KU501204.1,KU501100.1,,,KU501050.1,KU500976.1,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Svitramia_hatschbachii,x,Svitramia_hatschbachii,Svitramia hatschbachii Wurdack,(not in BAMM),(not in BAMM),,JQ730354.1,JQ730143.1,JQ730565.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Svitramia_minor,x,Svitramia_minor,Svitramia minor R.Romero & A.B.Martins,(not in BAMM),(not in BAMM),,JQ730355.1,JQ730144.1,JQ730566.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Svitramia_pulchra,x,Svitramia_pulchra,Svitramia pulchra Cham.,(not in BAMM),(not in BAMM),,JQ730356.1,JQ730145.1,JQ730567.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Svitramia_sp1,x,Svitramia_sp1,NA,(not in BAMM),(not in BAMM),,JQ730358.1,JQ730147.1,JQ730569.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Svitramia_sp2,x,Svitramia_sp2,NA,(not in BAMM),(not in BAMM),,JQ730357.1,JQ730146.1,JQ730568.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Svitramia_wurdackiana,x,Svitramia_wurdackiana,Svitramia wurdackiana R.Romero & A.B.Martins,(not in BAMM),(not in BAMM),,JQ730359.1,JQ730148.1,JQ730570.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Tibouchina_aegopogon,x,Tibouchina_aegopogon,Tibouchina aegopogon Cogn.,(not in BAMM),(not in BAMM),,,,JQ730571.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Tibouchina_aemula,x,Tibouchina_aemula,Tibouchina aemula Cogn.,(not in BAMM),(not in BAMM),,JQ730360.1,JQ730149.1,JQ730572.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Tibouchina_alpestris,x,Tibouchina_alpestris,Tibouchina alpestris Cogn.,(not in BAMM),(not in BAMM),,JQ730361.1,JQ730150.1,JQ730573.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Tibouchina_angustifolia,x,Tibouchina_angustifolia,Tibouchina angustifolia Cogn.,(not in BAMM),(not in BAMM),,JQ730362.1,JQ730151.1,JQ730574.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Tibouchina_arborea,x,Tibouchina_arborea,Tibouchina arborea Cogn.,(not in BAMM),(not in BAMM),,JQ730363.1,JQ730152.1,JQ730575.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_arenaria,x,Tibouchina_arenaria,Tibouchina arenaria Cogn.,(not in BAMM),(not in BAMM),,JQ730364.1,JQ730153.1,JQ730576.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Tibouchina_aspera_var_aperrima,x,Tibouchina_aspera_var_aperrima,Tibouchina aspera Aubl.,(not in BAMM),(not in BAMM),,JQ730365.1,JQ730154.1,JQ730577.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_aspera_var_aspera,x,Tibouchina_aspera_var_aspera,Tibouchina aspera Aubl.,(not in BAMM),(not in BAMM),,JQ730366.1,JQ730155.1,JQ730578.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_axillaris,x,Tibouchina_axillaris,Tibouchina axillaris Cogn.,(not in BAMM),(not in BAMM),,JQ730367.1,JQ730156.1,JQ730579.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_barnebyana,x,Tibouchina_barnebyana,Tibouchina barnebyana Wurdack,(not in BAMM),(not in BAMM),,JQ730368.1,JQ730157.1,,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Tibouchina_benthamiana,x,Tibouchina_benthamiana,Tibouchina benthamiana Cogn.,(not in BAMM),(not in BAMM),,JQ730369.1,JQ730158.1,JQ730580.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_bicolor,x,Tibouchina_bicolor,Tibouchina bicolor (Naudin) Cogn.,(not in BAMM),(not in BAMM),,JQ730370.1,JQ730159.1,JQ730581.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_bipenicillata,x,Tibouchina_bipenicillata,Tibouchina bipenicillata (Naudin) Cogn.,(not in BAMM),(not in BAMM),,JQ730371.1,JQ730160.1,JQ730582.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_blanchetiana,x,Tibouchina_blanchetiana,Tibouchina blanchetiana Cogn.,(not in BAMM),(not in BAMM),,JQ730372.1,JQ730161.1,,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Tibouchina_boudetii,x,Tibouchina_boudetii,Tibouchina boudetii P.J.F. Guim. & R. Goldenb.,(not in BAMM),(not in BAMM),,JQ730373.1,JQ730162.1,JQ730583.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_breedlovei,x,Tibouchina_breedlovei,Tibouchina breedlovei Wurdack,(not in BAMM),(not in BAMM),,JQ730374.1,JQ730163.1,JQ730584.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_candolleana,x,Tibouchina_candolleana,Tibouchina candolleana Cogn.,(not in BAMM),(not in BAMM),,JQ730375.1,JQ730164.1,JQ730585.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Tibouchina_cardinalis,x,Tibouchina_cardinalis,Tibouchina cardinalis Cogn.,(not in BAMM),(not in BAMM),,JQ730376.1,JQ730165.1,JQ730586.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,0
Tibouchina_castellensis,x,Tibouchina_castellensis,Tibouchina castellensis Brade,(not in BAMM),(not in BAMM),,JQ730377.1,JQ730166.1,JQ730587.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_cerastifolia,x,Tibouchina_cerastifolia,Tibouchina cerastifolia Cogn.,(not in BAMM),(not in BAMM),,,JQ730167.1,JQ730588.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_chamaecistus,x,Tibouchina_chamaecistus,Tibouchina chamaecistus Cogn.,(not in BAMM),(not in BAMM),,JQ730378.1,JQ730168.1,JQ730589.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_ciliaris,x,Tibouchina_ciliaris,Tibouchina ciliaris (Vent.) Cogn.,(not in BAMM),(not in BAMM),,,JQ730169.1,JQ730590.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_cinerea,x,Tibouchina_cinerea,Tibouchina cinera Cogn.,(not in BAMM),(not in BAMM),,JQ730379.1,JQ730170.1,JQ730591.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_citrina,x,Tibouchina_citrina,Tibouchina citrina (Naudin) Cogn.,(not in BAMM),(not in BAMM),,JQ730380.1,JQ730171.1,JQ730592.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_clavata,x,Tibouchina_clavata,Tibouchina clavata (Pers.) Wurdack,(not in BAMM),(not in BAMM),,JQ730381.1,JQ730172.1,JQ730593.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_clidemioides,x,Tibouchina_clidemioides,Tibouchina clidemioides Cogn.,(not in BAMM),(not in BAMM),,JQ730382.1,JQ730173.1,,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_clinopodifolia,x,Tibouchina_clinopodifolia,Tibouchina clinopodifolia (DC.) Cogn.,(not in BAMM),(not in BAMM),,JQ730383.1,JQ730174.1,JQ730594.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_confertiflora,x,Tibouchina_confertiflora,Tibouchina confertiflora (Naudin) Cogn.,(not in BAMM),(not in BAMM),,JQ730384.1,JQ730175.1,JQ730595.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_corymbosa,x,Tibouchina_corymbosa,Tibouchina corymbosa (Raddi) Cogn.,(not in BAMM),(not in BAMM),,JQ730385.1,JQ730176.1,JQ730596.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_cristata,x,Tibouchina_cristata,Tibouchina cristata Brade,(not in BAMM),(not in BAMM),,JQ730386.1,JQ730177.1,JQ730597.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_cryptadena,x,Tibouchina_cryptadena,Tibouchina cryptadena Gleason,(not in BAMM),(not in BAMM),,JQ730387.1,JQ730178.1,JQ730598.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_dubia,x,Tibouchina_dubia,Tibouchina dubia Cogn.,(not in BAMM),(not in BAMM),,JQ730388.1,JQ730179.1,JQ730599.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,0,1
Tibouchina_estrellensis,x,Tibouchina_estrellensis,Tibouchina estrellensis (Raddi) Cogn.,(not in BAMM),(not in BAMM),,JQ730389.1,JQ730180.1,JQ730600.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Tibouchina_fissinervia,x,Tibouchina_fissinervia,Tibouchina fissinervia Cogn.,(not in BAMM),(not in BAMM),,JQ730390.1,JQ730181.1,JQ730601.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
Tibouchina_fothergillae,x,Tibouchina_fothergillae,Tibouchina fothergillae (DC.) Cogn.,(not in BAMM),(not in BAMM),,JQ730391.1,JQ730182.1,JQ730602.1,,,,,"Michelangeli et al. (2012), Rocha et al. (2016)",,1,1
