hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,trnD,Reference,campo_rupestre,non_campo_rupestre
Mimosa_foliolosa_pubescens_JBB945,x,(double entry),(double entry),(double entry),MT459536,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_foliolosa_pubescens_MFS733,Mimosa_foliolosa_pubescens,Mimosa foliolosa Benth.,O,1,FJ982068,Simon et al. (2009),1,0
Mimosa_foliolosa_vernicosa_LMB403,Mimosa_foliolosa_vernicosa,Mimosa foliolosa Benth.,O,1,MT459537,Vasconcelos et al. (2020),1,0
Mimosa_furfuracea_APCS1065,x,(double entry),(double entry),(double entry),MT459538,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_furfuracea_OSR3500,Mimosa_furfuracea,Mimosa furfuracea Benth.,X,0.5,MT459539,Vasconcelos et al. (2020),0,1
Mimosa_galleotti_MFS840,Mimosa_galleotti,Mimosa galeottii Benth.,B,0.75,FJ982069,Simon et al. (2009),0,1
Mimosa_gatesiae_MFS741,Mimosa_gatesiae,Mimosa gatesiae Barneby,H,0.41,FJ982070,Simon et al. (2009),1,0
Mimosa_gemmulata_gemmulata_JSS1200,x,(double entry),(double entry),(double entry),MT459540,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_gemmulata_gemmulata_MFS690,Mimosa_gemmulata_gemmulata,Mimosa gemmulata Barneby,N,1,FJ982071,Simon et al. (2009),1,1
Mimosa_glutinosa_JSS852,Mimosa_glutinosa,Mimosa glutinosa Malme,N,1,MT459541,Vasconcelos et al. (2020),0,1
Mimosa_glutinosa_JSS862,x,(double entry),(double entry),(double entry),MT459542,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_goldmanii_AMB921,Mimosa_goldmanii,Mimosa goldmanii Robinson,V,0.92,FJ982072,Simon et al. (2009),0,1
Mimosa_gracilis_invisiformis_MFS762,Mimosa_gracilis_invisiformis,Mimosa gracilis Benth.,H,0.41,FJ982073,Simon et al. (2009),1,0
Mimosa_gracilis_stipitata_MFS745,Mimosa_gracilis_stipitata,Mimosa gracilis Benth.,H,0.41,FJ982074,Simon et al. (2009),1,0
Mimosa_grahamii_DLP880036,Mimosa_grahamii,Mimosa grahamii A.Gray,B,0.75,MT459543,Vasconcelos et al. (2020),0,1
Mimosa_grandidieri_DJP56,Mimosa_grandidieri,Mimosa grandidieri Baill.,D,0.58,FJ982075,Simon et al. (2009),0,1
Mimosa_guaranitica_JGN474,Mimosa_guaranitica,Mimosa guaranitica Chodat & Hassl.,I,0.77,FJ982076,Simon et al. (2009),1,1
Mimosa_guatemalensis_MFS831,Mimosa_guatemalensis,Mimosa guatemalensis (Hook. & Arn.) Benth.,B,0.75,FJ982077,Simon et al. (2009),0,1
Mimosa_guilandinae_guilandinae_MFP3958,x,(double entry),(double entry),(double entry),FJ982078,Simon et al. (2009),(double entry),(double entry)
Mimosa_guilandinae_MFS1375,Mimosa_guilandinae,Mimosa guilandinae (DC.) Barneby,A,0.73,MT459544,Vasconcelos et al. (2020),0,1
Mimosa_gymnas_JMS3541,Mimosa_gymnas,Mimosa gymnas Barneby,X,0.5,FJ982079,Simon et al. (2009),0,1
Mimosa_gymnas_JRVI722,x,(double entry),(double entry),(double entry),MT459545,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_gymnas_OSR3714,x,(double entry),(double entry),(double entry),MT459546,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_hafomantsina_GPL2138,Mimosa_hafomantsina,Mimosa hafomantsina Villiers,D,0.58,FJ982080,Simon et al. (2009),0,1
Mimosa_hamata_MFS876,Mimosa_hamata,Mimosa hamata Willd.,D,0.58,FJ982081,Simon et al. (2009),0,1
Mimosa_hapaloclada_AP14142,x,(double entry),(double entry),(double entry),MT459547,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_hapaloclada_JSS1175,Mimosa_hapaloclada,Mimosa hapaloclada Malme,D,0.58,MT459548,Vasconcelos et al. (2020),1,0
Mimosa_hatschbachii_GH9349,Mimosa_hatschbachii,Mimosa hatschbachii Barneby,K,0.47,MT459549,Vasconcelos et al. (2020),0,1
Mimosa_hebecarpa_JSS829,x,(double entry),(double entry),(double entry),MT459550,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_hebecarpa_JSS957,x,(double entry),(double entry),(double entry),MT459551,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_hebecarpa_JSS973,Mimosa_hebecarpa,Mimosa hebecarpa Benth.,N,1,MT459552,Vasconcelos et al. (2020),0,1
Mimosa_heringeri_CP2138,Mimosa_heringeri,Mimosa heringeri Barneby,O,1,FJ982082,Simon et al. (2009),1,0
Mimosa_heringeri_LMB616,x,(double entry),(double entry),(double entry),MT459553,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_hexandra_JSS829,x,(double entry),(double entry),(double entry),MT459554,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_hexandra_KFM128,x,(double entry),(double entry),(double entry),FJ982084,Simon et al. (2009),(double entry),(double entry)
Mimosa_hexandra_MFS711,Mimosa_hexandra,Mimosa hexandra Micheli,B,0.75,FJ982083,Simon et al. (2009),0,1
Mimosa_himalayana_SMT24,Mimosa_himalayana,Mimosa himalayana Gamble,D,0.58,FJ982177,Simon et al. (2009),0,1
Mimosa_hirsutissima_barbigera_MFS765,Mimosa_hirsutissima_barbigera,Mimosa hirsutissima Mart.,R,0.59,FJ982085,Simon et al. (2009),1,1
Mimosa_hirsutissima_grossa_LPQ12854,Mimosa_hirsutissima_grossa,Mimosa hirsutissima Mart.,R,0.59,FJ982086,Simon et al. (2009),1,1
Mimosa_sp._APSC1219,Mimosa_sp.,Mimosa sp. ,X,0.5,MT459555,Vasconcelos et al. (2020),0,1
Mimosa_hondurana_MFS858,Mimosa_hondurana,Mimosa hondurana Britton & Rose,B,0.75,FJ982087,Simon et al. (2009),0,1
Mimosa_honesta_MFS720,Mimosa_honesta,Mimosa honesta Mart.,Q,0.75,FJ982088,Simon et al. (2009),1,0
Mimosa_humivagans_MFS737,Mimosa_humivagans,Mimosa humivagans Barneby,O,1,FJ982089,Simon et al. (2009),1,0
Mimosa_hypoglauca_hypoglauca_MFS723,Mimosa_hypoglauca_hypoglauca,Mimosa hypoglauca Mart.,R,0.59,FJ982090,Simon et al. (2009),1,0
Mimosa_incana_APSC1068,x,(double entry),(double entry),(double entry),MT459556,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_incana_JRVI674,Mimosa_incana,Mimosa pilulifera Benth.,X,0.5,MT459557,Vasconcelos et al. (2020),0,1
Mimosa_incana_ND2,x,(double entry),(double entry),(double entry),FJ982091,Simon et al. (2009),(double entry),(double entry)
Mimosa_incarum_CEH2206,Mimosa_incarum,Mimosa incarum Barneby,W,1,FJ982092,Simon et al. (2009),0,1
Mimosa_incarum_CEH2656,x,(double entry),(double entry),(double entry),HM353109,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_incarum_RTP1630,x,(double entry),(double entry),(double entry),HM353087,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_incarum_RTP1685,x,(double entry),(double entry),(double entry),HM353108,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_insignis_JSS900,Mimosa_insignis,Mimosa insignis (Hassl.) Barneby,N,1,MT459558,Vasconcelos et al. (2020),0,1
Mimosa_insignis_JSS901,x,(double entry),(double entry),(double entry),MT459559,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_interrupta_JRIW25673,x,(double entry),(double entry),(double entry),KJ802907,Atahuachi et al. (2016),(double entry),(double entry)
Mimosa_interrupta_JRIW25829,x,(double entry),(double entry),(double entry),KJ802908,Atahuachi et al. (2016),(double entry),(double entry)
Mimosa_interrupta_LPQ10485,x,(double entry),(double entry),(double entry),FJ982093,Simon et al. (2009),(double entry),(double entry)
Mimosa_interrupta_LPQ10584,Mimosa_interrupta,Mimosa interrupta Benth.,N,1,JF694262,Simon et al. (2011),0,1
Mimosa_invisa_invisa_MFS715,Mimosa_invisa_invisa,Mimosa invisa Mart. ex Colla,F,0.5,FJ982094,Simon et al. (2009),1,1
Mimosa_involucrata_JRVI694,Mimosa_involucrata,Mimosa involucrata Benth.,X,0.5,MT459560,Vasconcelos et al. (2020),0,1
Mimosa_irrigua_MFS694,Mimosa_irrigua,Mimosa irrigua Barneby,A,0.73,FJ982095,Simon et al. (2009),1,1
Mimosa_jacobita_CEH2400,Mimosa_jacobita,Mimosa jacobita Barneby,S,1,FJ982096,Simon et al. (2009),0,1
Mimosa_jaenensis_TS2177,x,(double entry),(double entry),(double entry),HM353088,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_jaenensis_TS3044,x,(double entry),(double entry),(double entry),HM353090,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_jaenensis_TS3062,Mimosa_jaenensis,"Mimosa jaenensis Sarkinen, Marcelo-Pena & C.E.Hughes",B,0.75,HM353089,Sarkinen et al. (2011),0,1
Mimosa_jaenensis_TS3070,x,(double entry),(double entry),(double entry),HM353091,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_josephina_CEH2398,Mimosa_josephina,Mimosa josephina Barneby,M,1,FJ982097,Simon et al. (2009),0,1
Mimosa_kalunga_MFS866,Mimosa_kalunga,Mimosa kalunga Marc.F.Simon & C.E.Hughes,O,1,FJ982224,Simon et al. (2009),1,0
Mimosa_kuhnisteroides_JMS3876,Mimosa_kuhnisteroides,Mimosa kuhnisteroides Barneby,X,0.5,MT459561,Vasconcelos et al. (2020),0,1
Mimosa_lacerata_CEH2057,Mimosa_lacerata,Mimosa lacerata Rose,B,0.75,FJ982099,Simon et al. (2009),0,1
Mimosa_lactiflua_CEH2079,Mimosa_lactiflua,Mimosa lactiflua Benth.,V,0.92,FJ982100,Simon et al. (2009),0,1
Mimosa_lamolina_CEH2648,Mimosa_lamolina,Mimosa lamolina C.E.Hughes & G.P.Lewis,W,1,FJ982101;,Simon et al. (2009),0,1
Mimosa_lamolina_HV226,x,(double entry),(double entry),(double entry),HM353092,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_laniceps_MFS773,Mimosa_laniceps,Mimosa laniceps Barneby,O,1,FJ982102,Simon et al. (2009),1,0
Mimosa_lanuginosa_lanuginosa_MFS732,Mimosa_lanuginosa_lanuginosa,Mimosa lanuginosa Burkart,R,0.59,FJ982103,Simon et al. (2009),1,0
Mimosa_laticifera_MFS599,Mimosa_laticifera,Mimosa obovata Benth.,D,0.58,FJ982104,Simon et al. (2009),1,1
Mimosa_latispinosa_JMS206,Mimosa_latispinosa,Mimosa latispinosa Lam.,D,0.58,FJ982105,Simon et al. (2009),0,1
Mimosa_leiocephala_LMB888,Mimosa_leiocephala,Mimosa leiocephala Benth.,O,1,MT459562,Vasconcelos et al. (2020),1,0
Mimosa_lepidophora_DC1747,Mimosa_lepidophora,Mimosa lepidophora Rizzini,A,0.73,FJ982106,Simon et al. (2009),0,1
Mimosa_lepidorepens_APSC1125,Mimosa_lepidorepens,Mimosa lepidorepens Burkart,X,0.5,MT459563,Vasconcelos et al. (2020),0,1
Mimosa_lepidorepens_OSR3697,x,(double entry),(double entry),(double entry),MT459564,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_lepidota_CEH2469,Mimosa_lepidota,Mimosa lepidota Herzog,K,0.47,FJ982107,Simon et al. (2009),0,1
Mimosa_lepidota_JRIW14443,x,(double entry),(double entry),(double entry),HM353094,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_lepidota_JRIW19178,x,(double entry),(double entry),(double entry),HM353093,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_lepidota_JRIW20099,x,(double entry),(double entry),(double entry),HM353095,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_lepidota_JRIW22495,x,(double entry),(double entry),(double entry),HM353096,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_leprosa_parviceps_VFD358,Mimosa_leprosa_parviceps,Mimosa leprosa (Benth.) J.F.Macbr.,X,0.5,JF694263,Simon et al. (2011),1,0
Mimosa_lepthantha_JGN471,Mimosa_lepthantha,Mimosa leptantha Benth.,I,0.77,FJ982108,Simon et al. (2009),0,1
Mimosa_leptocarpa_LR1014,Mimosa_leptocarpa,Mimosa leptocarpa Rose,B,0.75,FJ982109,Simon et al. (2009),0,1
Mimosa_leucaenoides_SAMA8,Mimosa_leucaenoides,Mimosa leucaenoides Benth.,B,0.75,FJ982110,Simon et al. (2009),0,1
Mimosa_levenensis_ML4453,Mimosa_levenensis,Mimosa levenensis Drake,D,0.58,FJ982111,Simon et al. (2009),0,1
Mimosa_lewisii_JSS989,Mimosa_lewisii,Mimosa lewisii Barneby,N,1,MT459565,Vasconcelos et al. (2020),1,1
Mimosa_lithoreas_LMB629,Mimosa_lithoreas,Mimosa lithoreas Barneby,O,1,MT459566,Vasconcelos et al. (2020),1,0
Mimosa_longepedunculata_LMB915,Mimosa_longepedunculata,Mimosa longepedunculata Taub.,O,1,MT459567,Vasconcelos et al. (2020),1,0
Mimosa_loxensis_GPL2987,x,(double entry),(double entry),(double entry),FJ982113,Simon et al. (2009),(double entry),(double entry)
Mimosa_loxensis_GPL3082,Mimosa_loxensis,Mimosa loxensis Barneby,W,1,HM353097,Sarkinen et al. (2011),0,1
Mimosa_loxensis_RJE100,x,(double entry),(double entry),(double entry),HM353107,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_luisana_MFS844,Mimosa_luisana,Mimosa luisana Brandegee,B,0.75,FJ982114,Simon et al. (2009),0,1
Mimosa_macedoana_APSC1214,x,(double entry),(double entry),(double entry),MT459568,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_macedoana_APSC1215,Mimosa_macedoana,Mimosa macedoana Burkart,X,0.5,MT459569,Vasconcelos et al. (2020),1,0
Mimosa_maguirei_LMB466,Mimosa_maguirei,Mimosa maguirei Barneby,O,1,MT459570,Vasconcelos et al. (2020),1,0
Mimosa_malacophylla_DLP900415,x,(double entry),(double entry),(double entry),MT459571,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_malacophylla_SLCR530,Mimosa_malacophylla,Mimosa malacophylla A.Gray,B,0.75,FJ982115,Simon et al. (2009),0,1
Mimosa_manidea_MFS760,Mimosa_manidea,Mimosa manidea Barneby,O,1,FJ982116,Simon et al. (2009),1,0
Mimosa_martindelcampoi_SLCR527,Mimosa_martindelcampoi,Mimosa martindelcampoi Medrano,B,0.75,FJ982117,Simon et al. (2009),0,1
Mimosa_melanocarpa_MFS675,Mimosa_melanocarpa,Mimosa melanocarpa Benth.,O,1,FJ982118,Simon et al. (2009),1,1
Mimosa_menabeensis_menabeensis_JMS209,Mimosa_menabeensis,Mimosa menabeensis R.Vig.,D,0.58,FJ982119,Simon et al. (2009),0,1
Mimosa_mensicola_LPQ4289,Mimosa_mensicola,Mimosa mensicola Barneby,D,0.58,MT459572,Vasconcelos et al. (2020),1,0
Mimosa_micropteris_OSR3721,Mimosa_micropteris,Mimosa micropteris Benth.,X,0.5,MT459573,Vasconcelos et al. (2020),0,1
Mimosa_minarum_JGN495,Mimosa_minarum,Mimosa minarum Barneby,I,0.77,FJ982120,Simon et al. (2009),1,0
Mimosa_minutifolia_MFS810,Mimosa_minutifolia,Mimosa minutifolia Robinson & Greenm.,B,0.75,FJ982121,Simon et al. (2009),0,1
Mimosa_misera_MFS703,Mimosa_misera,Mimosa misera Benth.,I,0.77,JF694264,Simon et al. (2011),0,1
Mimosa_modesta_modesta_MFS708,Mimosa_modesta,Mimosa modesta Mart.,Q,0.75,FJ982122,Simon et al. (2009),1,1
Mimosa_mogolensis_APSC1218,Mimosa_mogolensis,Mimosa mogolensis Burkart,X,0.5,MT459574,Vasconcelos et al. (2020),1,0
Mimosa_mollis_MFS850,Mimosa_mollis,Mimosa mollis Benth.,B,0.75,FJ982123,Simon et al. (2009),0,1
Mimosa_monancistra_MFS809,Mimosa_monancistra,Mimosa monancistra Benth.,B,0.75,FJ982124,Simon et al. (2009),0,1
Mimosa_montana_montana_CEH2225,Mimosa_montana_montana,Mimosa montana Kunth,B,0.75,FJ982125,Simon et al. (2009),0,1
Mimosa_montana_montana_TS2223,x,(double entry),(double entry),(double entry),HM353098,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_montana_sandemanii_RJE125,Mimosa_montana_sandemanii,Mimosa montana Kunth,B,0.75,HM353099,Sarkinen et al. (2011),0,1
Mimosa_montis_carasae_VFD623,Mimosa_montis,Mimosa montis-carasae Barneby,X,0.5,JF694265,Simon et al. (2011),0,1
Mimosa_morroensis_JGN244,Mimosa_morroensis,Mimosa morroensis Barneby,I,0.77,JF694266,Simon et al. (2011),1,0
Mimosa_mossambicensis_RKB8896,Mimosa_mossambicensis,Mimosa mossambicensis Brenan,D,0.58,FJ982126,Simon et al. (2009),0,1
Mimosa_myriadenia_punctulata_PAR7483,Mimosa_myriadenia,Mimosa myriadenia (Benth.) Benth.,A,0.73,FJ982127,Simon et al. (2009),0,1
Mimosa_myriocephala_RR329,Mimosa_myriocephala,Mimosa myriocephala Baker,D,0.58,FJ982128,Simon et al. (2009),0,1
Mimosa_myrioglandulosa_MFS1944,Mimosa_myrioglandulosa,Mimosa myrioglandulosa V.F.Dutra & F.C.P.Garcia,O,1,MT459575,Vasconcelos et al. (2020),1,0
Mimosa_myriophylla_JRVI681,Mimosa_myriophylla,Mimosa myriophylla Benth.,X,0.5,MT459576,Vasconcelos et al. (2020),1,1
Mimosa_nanchititlana_RG2938,Mimosa_nanchititlana,Mimosa nanchititlana R.Grether & Barneby,B,0.75,FJ982129,Simon et al. (2009),0,1
Mimosa_neptunioides_JRIW22123,Mimosa_neptunioides,Mimosa neptunioides Harms,M,1,FJ982130,Simon et al. (2009),0,1
Mimosa_niederleinii_APSC1100,Mimosa_niederleinii,Mimosa niederleinii Burkart,X,0.5,MT459577,Vasconcelos et al. (2020),0,1
Mimosa_nitens_RQ1474,Mimosa_nitens,Mimosa nitens Benth.,O,1,MT459578,Vasconcelos et al. (2020),1,0
Mimosa_nossibiensis_nossibiensis_DJP350,Mimosa_nossibiensis,Mimosa nossibiensis Benth.,D,0.58,FJ982131,Simon et al. (2009),0,1
Mimosa_nothacacia_GPL2353,Mimosa_nothacacia,Mimosa nothacacia Barneby,A,0.73,FJ982132,Simon et al. (2009),0,1
Mimosa_nothacacia_GPL3039,x,(double entry),(double entry),(double entry),HM353101,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_nothacacia_GPL3291,x,(double entry),(double entry),(double entry),HM353100,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_nothopteris_JPS5204,Mimosa_nothopteris,Mimosa nothopteris Barneby,N,1,MT459579,Vasconcelos et al. (2020),1,0
Mimosa_nuda_nuda_CEH2396,Mimosa_nuda,Mimosa nuda Benth.,T,0.78,FJ982133,Simon et al. (2009),1,1
Mimosa_nuttallii_MFS875,Mimosa_nuttallii,Mimosa nuttallii (DC.) B.L.Turner,G,0.35,FJ982134,Simon et al. (2009),0,1
Mimosa_oblonga_oblonga_EB463,x,(double entry),(double entry),(double entry),FJ982135,Simon et al. (2009),(double entry),(double entry)
Mimosa_oblonga_OSR1134,Mimosa_oblonga,Mimosa oblonga Benth.,X,0.5,MT459580,Vasconcelos et al. (2020),0,1
Mimosa_occidentalis_occidentalis_MFS821,Mimosa_occidentalis,Mimosa occidentalis Britton & Rose,M,1,FJ982136,Simon et al. (2009),0,1
Mimosa_oedoclada_LMB560,Mimosa_oedoclada,Mimosa oedoclada Barneby,O,1,MT459581,Vasconcelos et al. (2020),1,0
Mimosa_oligosperma_LMB942,x,(double entry),(double entry),(double entry),MT459582,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_oligosperma_MFS865,Mimosa_oligosperma,Mimosa oligosperma Barneby,O,1,FJ982137,Simon et al. (2009),1,0
Mimosa_onilahensis_DJP899,Mimosa_onilahensis,Mimosa onilahensis R.Vig.,D,0.58,FJ982138,Simon et al. (2009),0,1
Mimosa_ophthalmocentra_JSS1201,Mimosa_ophthalmocentra,Mimosa ophthalmocentra Benth.,D,0.58,MT459583,Vasconcelos et al. (2020),1,1
Mimosa_ophthalmocentra_JSS838,x,(double entry),(double entry),(double entry),MT459584,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_ophthalmocentra_JSS938,x,(double entry),(double entry),(double entry),MT459585,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_ophthalmocentra_MJW2434,x,(double entry),(double entry),(double entry),FJ982139,Simon et al. (2009),(double entry),(double entry)
Mimosa_orbignyana_LMB787,Mimosa_orbignyana,Mimosa orbignyana Barneby,Y,0.83,MT459586,Vasconcelos et al. (2020),0,1
Mimosa_orthacantha_JCB_SN,Mimosa_orthacantha,Mimosa orthacantha Benth.,X,0.5,FJ982140,Simon et al. (2009),0,1
Mimosa_orthocarpa_MFS855,Mimosa_orthocarpa,Mimosa orthocarpa Benth.,M,1,FJ982141,Simon et al. (2009),0,1
Mimosa_pachycarpoides_LMB839,Mimosa_pachycarpoides,Mimosa pachycarpoides Malme,O,1,MT459587,Vasconcelos et al. (2020),0,1
Mimosa_palmeri_MFS823,Mimosa_palmeri,Mimosa palmeri Rose,B,0.75,FJ982142,Simon et al. (2009),0,1
Mimosa_papposa_papposa_MFS601,Mimosa_papposa,Mimosa papposa Benth.,R,0.59,FJ982143,Simon et al. (2009),1,0
Mimosa_parviceps_VFD437,Mimosa_parviceps,Mimosa parviceps Barneby,X,0.5,JF694267,Simon et al. (2011),1,0
Mimosa_parvipinna_JRVI756,Mimosa_parvipinna,Mimosa parvipinna Benth.,X,0.5,MT459588,Vasconcelos et al. (2020),0,1
Mimosa_paucifolia_VFD450,Mimosa_paucifolia,Mimosa paucifolia Benth.,H,0.41,JF694268,Simon et al. (2011),1,1
Mimosa_pectinatipinna_CEH2036,Mimosa_pectinatipinna,Mimosa pectinatipinna Burkart,W,1,FJ982144,Simon et al. (2009),0,1
Mimosa_pectinatipinna_RTP783,x,(double entry),(double entry),(double entry),HM353104,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_pectinatipinna_RTP806,x,(double entry),(double entry),(double entry),HM353106,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_pectinatipinna_TDP17650,x,(double entry),(double entry),(double entry),HM353105,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_pectinatipinna_TS2188,x,(double entry),(double entry),(double entry),HM353105,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_pectinatipinna_TS3101,x,(double entry),(double entry),(double entry),HM353102,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_pedersenii_LPQ12645,Mimosa_pedersenii,Mimosa pedersenii Barneby,X,0.5,FJ982145,Simon et al. (2009),0,1
Mimosa_perdusenii_OSR4545,Mimosa_per_dusenii,Mimosa per-dusenii Burkart,X,0.5,FJ982146,Simon et al. (2009),0,1
Mimosa_pigra_berlandieri_SLCR531,Mimosa_pigra_berlandieri,Mimosa pigra L.,J,0.6,FJ982147,Simon et al. (2009),0,1
Mimosa_pigra_dehiscens_CEH2414,Mimosa_pigra_dehiscens,Mimosa pigra L.,J,0.6,FJ982148,Simon et al. (2009),1,1
Mimosa_pilulifera_JRVI676,Mimosa_pilulifera,Mimosa pilulifera Benth.,X,0.5,MT459589,Vasconcelos et al. (2020),0,1
Mimosa_pilulifera_ND3,x,(double entry),(double entry),(double entry),FJ982149,Simon et al. (2009),(double entry),(double entry)
Mimosa_pilulifera_pseudincana_MFS878,x,(double entry),(double entry),(double entry),FJ982150,Simon et al. (2009),(double entry),(double entry)
Mimosa_piresii_Ribeiro_1200,Mimosa_piresii,Mimosa piresii Barneby,Y,0.83,MT459590,Vasconcelos et al. (2020),0,1
Mimosa_pithecolobioides_APCS1217,Mimosa_pithecolobioides,Mimosa pithecolobioides Benth.,A,0.73,MT459591,Vasconcelos et al. (2020),1,0
Mimosa_pithecolobioides_VFD317,x,(double entry),(double entry),(double entry),FJ982151,Simon et al. (2009),(double entry),(double entry)
Mimosa_platycarpa_platycarpa_MFS859,Mimosa_platycarpa,Mimosa platycarpa Benth.,B,0.75,FJ982152,Simon et al. (2009),0,1
Mimosa_poculata_LPQ10160,Mimosa_poculata,Mimosa poculata Barneby,L,0.62,JF694269,Simon et al. (2011),1,1
Mimosa_polyantha_MFS829,Mimosa_polyantha,Mimosa polyantha Benth.,B,0.75,FJ982153,Simon et al. (2009),0,1
Mimosa_polycarpa_redundans_CEH2642,Mimosa_polycarpa_redundans,Mimosa polycarpa Kunth,W,1,HM353125,Sarkinen et al. (2011),0,1
Mimosa_polycarpa_redundans_DA4573,x,(double entry),(double entry),(double entry),HM353084,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_polycarpa_redundans_TS3089,x,(double entry),(double entry),(double entry),HM353124,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_polycarpa_RJE100,Mimosa_polycarpa,Mimosa polycarpa Kunth,W,1,HM353107,Sarkinen et al. (2011),0,1
Mimosa_polycarpa_subandina_CEH2432,Mimosa_polycarpa_subandina,Mimosa polycarpa Kunth,W,1,HM353111,Sarkinen et al. (2011),0,1
Mimosa_polycarpa_subandina_CEH2462,x,(double entry),(double entry),(double entry),FJ982154,Simon et al. (2009),(double entry),(double entry)
Mimosa_polycarpa_subandina_TS2061,x,(double entry),(double entry),(double entry),HM353110,Sarkinen et al. (2011),(double entry),(double entry)
Mimosa_polycephala_polycephala_MFS400,Mimosa_polycephala,Mimosa polycephala Benth.,R,0.59,FJ982155,Simon et al. (2009),0,1
Mimosa_polydactyla_LC8652,Mimosa_polydactyla,Mimosa polydactyla Willd.,P,1,FJ982156,Simon et al. (2009),0,1
Mimosa_polydidyma_MFS719,Mimosa_polydidyma,Mimosa polydidyma Barneby,H,0.41,FJ982157,Simon et al. (2009),1,0
Mimosa_prainiana_LJGM3843,Mimosa_prainiana,Mimosa prainiana Gamble,D,0.58,FJ982158,Simon et al. (2009),0,1
Mimosa_procurrens_MFS1804,Mimosa_procurrens,Mimosa procurrens Benth.,Z,1,MT459592,Vasconcelos et al. (2020),1,0
Mimosa_prorepens_LMB496,Mimosa_prorepens,Mimosa prorepens Barneby,O,1,MT459593,Vasconcelos et al. (2020),1,0
Mimosa_prorepens_LMB504,x,(double entry),(double entry),(double entry),MT459594,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_pseudocallosa_OSR5845,Mimosa_pseudocallosa,Mimosa pseudocallosa Burkart,X,0.5,FJ982159,Simon et al. (2009),0,1
Mimosa_pseudoradula_pseudoradula_MFS664,Mimosa_pseudoradula,Mimosa pseudoradula Glaz. ex Barneby,R,0.59,FJ982160,Simon et al. (2009),1,0
Mimosa_pseudosepiaria_MFS712,Mimosa_pseudosepiaria,Mimosa pseudosepiaria Harms,D,0.58,FJ982161,Simon et al. (2009),0,1
Mimosa_psilocarpa_AMB933,Mimosa_psilocarpa,Mimosa psilocarpa Robinson,V,0.92,FJ982163,Simon et al. (2009),0,1
Mimosa_psoralea_PBP3571,Mimosa_psoralea,Mimosa psoralea (DC.) Benth.,D,0.58,FJ982164,Simon et al. (2009),0,1
Mimosa_pteridifolia_JSS1102,x,(double entry),(double entry),(double entry),MT459595,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_pteridifolia_JSS1178,x,(double entry),(double entry),(double entry),MT459596,Vasconcelos et al. (2020),(double entry),(double entry)
Mimosa_pteridifolia_MFS754,Mimosa_pteridifolia,Mimosa pteridifolia Benth.,N,1,FJ982165,Simon et al. (2009),1,1
Mimosa_pudica_MFS669,Mimosa_pudica,Mimosa pudica L.,P,1,FJ982166,Simon et al. (2009),0,1
Mimosa_purpusii_MFS841,Mimosa_purpusii,Mimosa purpusii Brandegee,B,0.75,FJ982167,Simon et al. (2009),0,1
