hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,,ITS (nuclear),trnL-F (plastid),matK (plastid),,Reference,,campo_rupestre,non_campo_rupestre
Cattleya_kleberi,Cattleya_kleberi,Cattleya kleberi (F.E.L.Miranda) Van den Berg,ser_Parviflorae,0.79,,FJ200194.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_liliputana,Cattleya_liliputana,Cattleya liliputana (Pabst) Van den Berg,ser_Parviflorae,0.79,,FJ200189.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_longipes,Cattleya_longipes,Cattleya longipes (Rchb.f.) Van den Berg,ser_Parviflorae,0.79,,AY008676.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_luetzelburgii,Cattleya_luetzelburgii,Cattleya luetzelburgii Van den Berg,ser_Parviflorae,0.79,,AY008653.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_milleri,Cattleya_milleri,Cattleya milleri (Blumensch. ex Pabst) Van den Berg,ser_Parviflorae,0.79,,AY008661.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_mirandae,Cattleya_mirandae,Cattleya mirandae (K.G.Lacerda & V.P.Castro) Van den Berg,ser_Parviflorae,0.79,,FJ200193.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_pabstii,Cattleya_pabstii,Cattleya pabstii (F.E.L.Miranda & K.G.Lacerda) Van den Berg,ser_Parviflorae,0.79,,FJ200184.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_pfisteri,Cattleya_pfisteri,Cattleya pfisteri (Pabst & Senghas) Van den Berg,ser_Parviflorae,0.79,,AY008662.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_reginae,Cattleya_reginae,Cattleya reginae (Pabst) Van den Berg,ser_Parviflorae,0.79,,AY008668.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_rupestris,Cattleya_rupestris,Cattleya rupestris (Lindl.) Van den Berg,ser_Parviflorae,0.79,,AF260197.1,AF267028.1,AF263801.1,,Van den Berg et al. 2009,,1,0
Cattleya_sanguiloba,Cattleya_sanguiloba,Cattleya sanguiloba (Withner) Van den Berg,ser_Parviflorae,0.79,,AY008669.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_teretecaulis,Cattleya_teretecaulis,Cattleya teretecaulis (Hoehne) Van den Berg,ser_Parviflorae,0.79,,AY008670.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_vandenbergii,Cattleya_vandenbergii,Cattleya vandenbergii Fraga & Borges,ser_Parviflorae,0.79,,AY008671.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_verboonenii,Cattleya_verboonenii,Cattleya verboonenii (F.E.L.Miranda) Van den Berg,ser_Parviflorae,0.79,,FJ200192.1,,,,Gustafsson et al. 2010,,1,0
Cattleya_viridiflora,Cattleya_viridiflora,Cattleya viridiflora (Verola & Semir) Van den Berg,ser_Parviflorae,0.79,,FJ200195.1,,,,Gustafsson et al. 2010,,1,0
Acianthera_ochreata,Acianthera_ochreata,Acianthera ochreata (Lindl.) Pridgeon & M.W.Chase,(outgroup),not in BAMM,,AF262858.1,AY008446.1,,,Van den Berg et al. 2009,,1,1
Bifrenaria_tyrianthina,Bifrenaria_tyrianthina,Bifrenaria tyrianthina (Lodd. ex Loudon) Rchb.f.,(outgroup),not in BAMM,,DQ210235.1,,,,Gustafsson et al. 2010,,1,1
Bletia_catenulata,Bletia_catenulata,Bletia catenulata Ruiz & Pav.,(outgroup),not in BAMM,,AY008461.1,,AY121720.1,,Van den Berg et al. 2009,,1,1
Bletia_purpurea,Bletia_purpurea,Bletia purpurea (Lam.) A.DC.,(outgroup),not in BAMM,,AY008463.1,AY008451.1,AY121718.1,,Van den Berg et al. 2009,,1,1
Constantia_cipoensis,Constantia_cipoensis,Constantia cipoensis Porto & Brade,(outgroup),not in BAMM,,AF260193.1,AF267023.1,AF263796.1,,Van den Berg et al. 2009,,1,0
Encyclia_oncidioides,Encyclia_oncidioides,Encyclia oncidioides (Lindl.) Schltr.,(outgroup),not in BAMM,,AF260184.1,AF267013.1,AF263788.1,,Van den Berg et al. 2009,,1,1
Isabelia_violacea,Isabelia_violacea,Isabelia violacea (Lindl.) C.Van den Berg & M.W.Chase,(outgroup),not in BAMM,,AF260168.1,AF266997.1,AF263777.1,,Van den Berg et al. 2009,,1,1
Pseudolaelia_vellozicola,Pseudolaelia_vellozicola,Pseudolaelia vellozicola (Hoehne) Porto & Brade,(outgroup),not in BAMM,,AF260166.1,AF266994.1,AY121748.1,,Van den Berg et al. 2009,,1,1
Stelis_argentata,Stelis_argentata,Stelis argentata Lindl.,(outgroup),not in BAMM,,AF262878.1,,AF265464.1,,Van den Berg et al. 2009,,1,1
Zygopetalum_maculatum,Zygopetalum_maculatum,Zygopetalum maculatum (Kunth) Garay,(outgroup),not in BAMM,,AY870097.1,,,,Gustafsson et al. 2010,,1,1
Cattleya_caulescens2,x,(double entry),(double entry),(double entry),,AY008663.1,,,,Gustafsson et al. 2010,,(double entry),(double entry)
Cattleya_caulescens3,x,(double entry),(double entry),(double entry),,AY008656.1,,,,Gustafsson et al. 2010,,(double entry),(double entry)
