hpd_name,cleaned_name,accepted_name,,clade,sampling_fraction,,phyC,rpl32-trnl,rps16-trnk,trnD-trnY,trnK-matK,rps16,,Reference,,campo_rupestre,Non_campo_rupestre
Dyckia_floribunda_FK0107,x,Dyckia floribunda Griseb.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784071.1,KF784195.1,KF784319.1,KF784443.1,KF784691.1,KF784567.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_floribunda_FK0108,Dyckia_floribunda,Dyckia floribunda Griseb.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784072.1,KF784196.1,KF784320.1,KF784444.1,KF784692.1,KF784568.1,,Krapp et al. 2014,,0,1
Dyckia_fosteriana,Dyckia_fosteriana,Dyckia fosteriana L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784058.1,KF784182.1,KF784306.1,KF784430.1,KF784678.1,KF784554.1,,Krapp et al. 2014,,0,1
Dyckia_goehringii,Dyckia_goehringii,Dyckia goehringii E.Gross & Rauh,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784011.1,KF784135.1,KF784259.1,KF784383.1,KF784631.1,KF784507.1,,Krapp et al. 2014,,1,0
Dyckia_grandidentata,Dyckia_grandidentata,Dyckia grandidentata P.J.Braun & Esteves,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784092.1,KF784216.1,KF784340.1,KF784464.1,KF784712.1,KF784588.1,,Krapp et al. 2014,,1,0
Dyckia_granmogulensis,Dyckia_granmogulensis,Dyckia granmogulensis Rauh,,(BAMM analysis not performed),(BAMM analysis not performed),,KF783991.1,KF784115.1,KF784239.1,KF784363.1,KF784611.1,KF784487.1,,Krapp et al. 2014,,1,0
Dyckia_hebdingii_FK0013,x,Dyckia hebdingii L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF783996.1,KF784120.1,KF784244.1,KF784368.1,KF784616.1,KF784492.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_hebdingii_FK0038,x,Dyckia hebdingii L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784016.1,KF784140.1,KF784264.1,KF784388.1,KF784636.1,KF784512.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_hebdingii_FK0112,Dyckia_hebdingii,Dyckia hebdingii L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784076.1,KF784200.1,KF784324.1,KF784448.1,KF784696.1,KF784572.1,,Krapp et al. 2014,,0,1
Dyckia_jonesiana,Dyckia_jonesiana,Dyckia jonesiana Strehl,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784108.1,KF784232.1,KF784356.1,KF784480.1,KF784728.1,KF784604.1,,Krapp et al. 2014,,0,1
Dyckia_leptostachya,Dyckia_leptostachya,Dyckia leptostachya Baker,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784028.1,KF784152.1,KF784276.1,KF784400.1,KF784648.1,KF784524.1,,Krapp et al. 2014,,0,1
Dyckia_lindevaldae,Dyckia_lindevaldae,Dyckia lindevaldae Rauh,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784002.1,KF784126.1,KF784250.1,KF784374.1,KF784622.1,KF784498.1,,Krapp et al. 2014,,1,0
Dyckia_lunaris,Dyckia_lunaris,Dyckia lunaris Leme,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784099.1,KF784223.1,KF784347.1,KF784471.1,KF784719.1,KF784595.1,,Krapp et al. 2014,,1,0
Dyckia_macedoi_FK0099,x,Dyckia macedoi L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784063.1,KF784187.1,KF784311.1,KF784435.1,KF784683.1,KF784559.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_macedoi_FK0100,x,Dyckia macedoi L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784064.1,KF784188.1,KF784312.1,KF784436.1,KF784684.1,KF784560.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_macedoi_FK0101,x,Dyckia macedoi L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784065.1,KF784189.1,KF784313.1,KF784437.1,KF784685.1,KF784561.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_macedoi_FK0102,Dyckia_macedoi,Dyckia macedoi L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784066.1,KF784190.1,KF784314.1,KF784438.1,KF784686.1,KF784562.1,,Krapp et al. 2014,,1,0
Dyckia_machrisiana,Dyckia_machrisiana,Dyckia machrisiana L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784095.1,KF784219.1,KF784343.1,KF784467.1,KF784715.1,KF784591.1,,Krapp et al. 2014,,1,0
Dyckia_maracasensis,Dyckia_maracasensis,Dyckia maracasensis Ule,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784051.1,KF784175.1,KF784299.1,KF784423.1,KF784671.1,KF784547.1,,Krapp et al. 2014,,1,0
Dyckia_maritima_FK0092,Dyckia_maritima,Dyckia maritima Baker,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784056.1,KF784180.1,KF784304.1,KF784428.1,KF784676.1,KF784552.1,,Krapp et al. 2014,,0,1
Dyckia_maritima_FK0113,x,Dyckia maritima Baker,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784077.1,KF784201.1,KF784325.1,KF784449.1,KF784697.1,KF784573.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_marnier_lapostollei_var_estevesii,Dyckia_marnier_lapostollei_var_estevesii,Dyckia marnier ,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784010.1,KF784134.1,KF784258.1,KF784382.1,KF784630.1,KF784506.1,,Krapp et al. 2014,,1,0
Dyckia_marnier_lapostollei_var_marnier_lapostollei,Dyckia_marnier_lapostollei_var_marnier_lapostollei,Dyckia marnier ,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784009.1,KF784133.1,KF784257.1,KF784381.1,KF784629.1,KF784505.1,,Krapp et al. 2014,,1,0
Dyckia_microcalyx_FK0009,Dyckia_microcalyx,Dyckia microcalyx Baker,,(BAMM analysis not performed),(BAMM analysis not performed),,KF783992.1,KF784116.1,KF784240.1,KF784364.1,KF784612.1,KF784488.1,,Krapp et al. 2014,,0,1
Dyckia_microcalyx_FK0054,x,Dyckia microcalyx Baker,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784029.1,KF784153.1,KF784277.1,KF784401.1,KF784649.1,KF784525.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_microcalyx_FK0111,x,Dyckia microcalyx Baker,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784075.1,KF784199.1,KF784323.1,KF784447.1,KF784695.1,KF784571.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_milagrensis,Dyckia_milagrensis,Dyckia milagrensis Leme,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784060.1,KF784184.1,KF784308.1,KF784432.1,KF784680.1,KF784556.1,,Krapp et al. 2014,,1,0
Dyckia_mirandana,Dyckia_mirandana,Dyckia mirandana Leme & Z.J.G.Miranda,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784103.1,KF784227.1,KF784351.1,KF784475.1,KF784723.1,KF784599.1,,Krapp et al. 2014,,1,0
Dyckia_monticola,Dyckia_monticola,Dyckia monticola L.B.Sm. & Reitz,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784052.1,KF784176.1,KF784300.1,KF784424.1,KF784672.1,KF784548.1,,Krapp et al. 2014,,0,1
Dyckia_nana,Dyckia_nana,Dyckia nana Leme & O.B.C.Ribeiro,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784097.1,KF784221.1,KF784345.1,KF784469.1,KF784717.1,KF784593.1,,Krapp et al. 2014,,1,0
Dyckia_niederleinii_FK0103,x,Dyckia niederleinii Mez,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784067.1,KF784191.1,KF784315.1,KF784439.1,KF784687.1,KF784563.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_niederleinii_FK0110,Dyckia_niederleinii,Dyckia niederleinii Mez,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784074.1,KF784198.1,KF784322.1,KF784446.1,KF784694.1,KF784570.1,,Krapp et al. 2014,,0,1
Dyckia_oligantha_var_oligantha,Dyckia_oligantha_var_oligantha,Dyckia saxatilis Mez,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784015.1,KF784139.1,KF784263.1,KF784387.1,KF784635.1,KF784511.1,,Krapp et al. 2014,,1,0
Dyckia_paraensis,Dyckia_paraensis,Dyckia paraensis L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784096.1,KF784220.1,KF784344.1,KF784468.1,KF784716.1,KF784592.1,,Krapp et al. 2014,,0,1
Dyckia_pectinata,Dyckia_pectinata,Dyckia pectinata L.B.Sm. & Reitz,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784094.1,KF784218.1,KF784342.1,KF784466.1,KF784714.1,KF784590.1,,Krapp et al. 2014,,1,1
Dyckia_pernambucana_FK0097,x,Dyckia pernambucana L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784061.1,KF784185.1,KF784309.1,KF784433.1,KF784681.1,KF784557.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_pernambucana_FK0098,Dyckia_pernambucana,Dyckia pernambucana L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784062.1,KF784186.1,KF784310.1,KF784434.1,KF784682.1,KF784558.1,,Krapp et al. 2014,,0,1
Dyckia_platyphylla_FK0209,Dyckia_platyphylla,Dyckia platyphylla L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784106.1,KF784230.1,KF784354.1,KF784478.1,KF784726.1,KF784602.1,,Krapp et al. 2014,,0,1
Dyckia_pulquinensis,Dyckia_pulquinensis,Dyckia pulquinensis Wittm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784102.1,KF784226.1,KF784350.1,KF784474.1,KF784722.1,KF784598.1,,Krapp et al. 2014,,0,1
Dyckia_pumila,Dyckia_pumila,Dyckia pumila L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784057.1,KF784181.1,KF784305.1,KF784429.1,KF784677.1,KF784553.1,,Krapp et al. 2014,,1,0
Dyckia_rariflora,Dyckia_rariflora,Dyckia rariflora Schult. & Schult.f.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784017.1,KF784141.1,KF784265.1,KF784389.1,KF784637.1,KF784513.1,,Krapp et al. 2014,,1,0
Dyckia_remotiflora_FK0011,x,Dyckia remotiflora A.Dietr.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF783994.1,KF784118.1,KF784242.1,KF784366.1,KF784614.1,KF784490.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_remotiflora_FK0015,Dyckia_remotiflora,Dyckia remotiflora A.Dietr.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF783998.1,KF784122.1,KF784246.1,KF784370.1,KF784618.1,KF784494.1,,Krapp et al. 2014,,0,1
Dyckia_remotiflora_FK0055,x,Dyckia remotiflora A.Dietr.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784030.1,KF784154.1,KF784278.1,KF784402.1,KF784650.1,KF784526.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_remotiflora_FK0068,x,Dyckia remotiflora A.Dietr.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784033.1,KF784157.1,KF784281.1,KF784405.1,KF784653.1,KF784529.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_rojasii,Dyckia_rojasii,Dyckia leptostachya Baker,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784101.1,KF784225.1,KF784349.1,KF784473.1,KF784721.1,KF784597.1,,Krapp et al. 2014,,0,1
Dyckia_secunda,Dyckia_secunda,Dyckia secunda L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784098.1,KF784222.1,KF784346.1,KF784470.1,KF784718.1,KF784594.1,,Krapp et al. 2014,,1,1
Dyckia_sp_HEID_HD104100,Dyckia_sp1,NA,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784006.1,KF784130.1,KF784254.1,KF784378.1,KF784626.1,KF784502.1,,Krapp et al. 2014,,0,1
Dyckia_sp_HEID_HD130026,Dyckia_sp2,NA,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784005.1,KF784129.1,KF784253.1,KF784377.1,KF784625.1,KF784501.1,,Krapp et al. 2014,,0,1
Dyckia_sp_HEID_HD602169,Dyckia_sp3,NA,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784050.1,KF784174.1,KF784298.1,KF784422.1,KF784670.1,KF784546.1,,Krapp et al. 2014,,1,0
Dyckia_sp_WU_401_96,Dyckia_sp4,NA,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784024.1,KF784148.1,KF784328.1,KF784452.1,KF784700.1,KF784520.1,,Krapp et al. 2014,,0,1
Dyckia_sp_WU0001088,Dyckia_sp5,NA,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784080.1,KF784204.1,KF784272.1,KF784396.1,KF784644.1,KF784576.1,,Krapp et al. 2014,,0,1
Dyckia_tobatiensis,Dyckia_tobatiensis,Dyckia tobatiensis Hassl.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784001.1,KF784125.1,KF784249.1,KF784373.1,KF784621.1,KF784497.1,,Krapp et al. 2014,,0,1
Dyckia_tomentella,Dyckia_tomentella,Dyckia tomentella Mez,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784078.1,KF784202.1,KF784326.1,KF784450.1,KF784698.1,KF784574.1,,Krapp et al. 2014,,0,1
Dyckia_ursina_FK0012,x,Dyckia ursina L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF783995.1,KF784119.1,KF784243.1,KF784367.1,KF784615.1,KF784491.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_ursina_FK0089,Dyckia_ursina,Dyckia ursina L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784053.1,KF784177.1,KF784301.1,KF784425.1,KF784673.1,KF784549.1,,Krapp et al. 2014,,1,0
Dyckia_velascana_FK0006,x,Dyckia velascana Mez,,(BAMM analysis not performed),(BAMM analysis not performed),,KF783990.1,KF784114.1,KF784238.1,KF784362.1,KF784610.1,KF784486.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_velascana_FK0104,x,Dyckia velascana Mez,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784068.1,KF784192.1,KF784316.1,KF784440.1,KF784688.1,KF784564.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_velascana_FK0105,Dyckia_velascana,Dyckia velascana Mez,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784069.1,KF784193.1,KF784317.1,KF784441.1,KF784689.1,KF784565.1,,Krapp et al. 2014,,0,1
Dyckia_vestita_FK0032,x,Dyckia vestita Hassl.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784012.1,KF784136.1,KF784260.1,KF784384.1,KF784632.1,KF784508.1,,Krapp et al. 2014,,(double entry),(double entry)
Dyckia_vestita_FK0109,Dyckia_vestita,Dyckia vestita Hassl.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784073.1,KF784197.1,KF784321.1,KF784445.1,KF784693.1,KF784569.1,,Krapp et al. 2014,,0,1
Encholirium_erectiflorum,Encholirium_erectiflorum,Encholirium erectiflorum L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784087.1,KF784211.1,KF784335.1,KF784459.1,KF784707.1,KF784583.1,,Krapp et al. 2014,,0,1
Encholirium_horridum,Encholirium_horridum,Encholirium horridum L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784034.1,KF784158.1,KF784282.1,KF784406.1,KF784654.1,KF784530.1,,Krapp et al. 2014,,0,1
Encholirium_magalhaesii,Encholirium_magalhaesii,Encholirium magalhaesii L.B.Sm.,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784086.1,KF784210.1,KF784334.1,KF784458.1,KF784706.1,KF784582.1,,Krapp et al. 2014,,1,0
Encholirium_maximum,Encholirium_maximum,Encholirium maximum Forzza & Leme,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784088.1,KF784212.1,KF784336.1,KF784460.1,KF784708.1,KF784584.1,,Krapp et al. 2014,,1,0
Encholirium_sp_FK0014,Encholirium_sp1,NA,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784089.1,KF784213.1,KF784337.1,KF784461.1,KF784709.1,KF784585.1,,Krapp et al. 2014,,1,0
Encholirium_sp_FK0078,Encholirium_sp2,NA,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784044.1,KF784168.1,KF784292.1,KF784416.1,KF784664.1,KF784540.1,,Krapp et al. 2014,,0,1
Encholirium_sp_FK0079,Encholirium_sp3,NA,,(BAMM analysis not performed),(BAMM analysis not performed),,KF784042.1,KF784166.1,KF784290.1,KF784414.1,KF784662.1,KF784538.1,,Krapp et al. 2014,,0,1
Encholirium_sp_FK0080,Encholirium_sp4,NA,,(BAMM analysis not performed),(BAMM analysis not performed),,KF783997.1,KF784121.1,KF784245.1,KF784369.1,KF784617.1,KF784493.1,,Krapp et al. 2014,,0,1
