hpd_name,cleaned_name,accepted_name,clade,sampling_fraction,,ITS (nuclear),ETS (nuclear),,Reference,,campo_rupestre,non_campo_rupestre
Diplusodon_cryptanthus,Diplusodon_cryptanthus,Diplusodon cryptanthus T.B.Cavalc.,NA*,NA*,,JN701253.1,JN701195.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_decussatus,Diplusodon_decussatus,Diplusodon decussatus Gardner,NA*,NA*,,JN701293.1,JN701232.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_divaricatus,Diplusodon_divaricatus,Diplusodon divaricatus Pohl,NA*,NA*,,KF471221.1,KF471175.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_epilobioides,Diplusodon_epilobioides,Diplusodon epilobioides Mart. ex DC.,NA*,NA*,,KF471223.1,KF471177.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_ericoides,Diplusodon_ericoides,Diplusodon ericoides Lourteig,NA*,NA*,,KF471199.1,KF471233.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_fastigiatus,Diplusodon_fastigiatus,Diplusodon fastigiatus Lourteig,NA*,NA*,,JN701251.1,JN701193.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_glaucescens,Diplusodon_glaucescens,Diplusodon glaucescens DC.,NA*,NA*,,JN701265.1,JN701207.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_glaziovii,Diplusodon_glaziovii,Diplusodon glaziovii Koehne,NA*,NA*,,JN701262.1,JN701203.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_glocimarii,Diplusodon_glocimarii,Diplusodon glocimarii T.B.Cavalc.,NA*,NA*,,KF471198.1,KF471152.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_hatschbachii,Diplusodon_hatschbachii,Diplusodon hatschbachii Lourteig,NA*,NA*,,KF471226.1,KF471180.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_helianthemifolius_var_helianthemifolius,Diplusodon_helianthemifolius_var_helianthemifolius,Diplusodon helianthemifolius DC.,NA*,NA*,,JN701275.1,JN701217.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_helianthemifolius_var_pemphoides,Diplusodon_helianthemifolius_var_pemphoides,Diplusodon helianthemifolius DC.,NA*,NA*,,JN701271.1,JN701213.1,,Inglis & Cavalcanti 2018,,1,1
Diplusodon_heringeri,Diplusodon_heringeri,Diplusodon heringeri Lourteig,NA*,NA*,,JN701250.1,JN701192.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_hexander,Diplusodon_hexander,Diplusodon hexander DC.,NA*,NA*,,JN701266.1,JN701208.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_hirsutus,Diplusodon_hirsutus,Diplusodon hirsutus (Cham. & Schltdl.) A.DC.,NA*,NA*,,JN701260.1,JN701201.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_imbricatus,Diplusodon_imbricatus,Diplusodon imbricatus Pohl,NA*,NA*,,JN701252.1,JN701194.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_incanus,Diplusodon_incanus,Diplusodon incanus Gardner,NA*,NA*,,JN701286.1,KF701642.1,,Inglis & Cavalcanti 2018,,1,1
Diplusodon_kielmeyeroides,Diplusodon_kielmeyeroides,Diplusodon kielmeyeroides A.St.-Hil.,NA*,NA*,,JN701246.1,JN701205.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_kielmeyeroides_var_microcalyx,Diplusodon_kielmeyeroides_var_microcalyx,Diplusodon kielmeyeroides A.St.-Hil.,NA*,NA*,,KF471193.1,KF471231.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_lanceolatus,Diplusodon_lanceolatus,Diplusodon lanceolatus Pohl,NA*,NA*,,JN701263.1,JN701204.1,,Inglis & Cavalcanti 2018,,1,1
Diplusodon_longipes,Diplusodon_longipes,Diplusodon longipes Koehne,NA*,NA*,,JN701309.1,JN701242.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_macrodon,Diplusodon_macrodon,Diplusodon macrodon Koehne,NA*,NA*,,JN701257.1,JN701199.1,,Inglis & Cavalcanti 2018,,1,1
Diplusodon_marginatus,Diplusodon_marginatus,Diplusodon marginatus Pohl,NA*,NA*,,JN701249.1,JN701191.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_micromerus,Diplusodon_micromerus,Diplusodon micromerus T. Cavalcanti,NA*,NA*,,KF471225.1,KF471179.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_microphyllus,Diplusodon_microphyllus,Diplusodon microphyllus Pohl,NA*,NA*,,JN701247.1,JN701226.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_minasensis,Diplusodon_minasensis,Diplusodon minasensis Lourteig,NA*,NA*,,KF471224.1,KF471178.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_mononeuros,Diplusodon_mononeuros,Diplusodon mononeuros Pilg.,NA*,NA*,,JN701274.1,JN701216.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_nitidus,Diplusodon_nitidus,Diplusodon nitidus Mart. ex DC.,NA*,NA*,,JN701277.1,JN701219.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_oblongus,Diplusodon_oblongus,Diplusodon oblongus Pohl,NA*,NA*,,JN701299.1,JN701238.1,,Inglis & Cavalcanti 2018,,1,1
Diplusodon_orbicularis,Diplusodon_orbicularis,Diplusodon orbicularis Koehne,NA*,NA*,,JN701261.1,JN701202.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_ovatus,Diplusodon_ovatus,Diplusodon ovatus Pohl,NA*,NA*,,KY321375.1,KY321379.1,,Inglis & Cavalcanti 2018,,1,1
Diplusodon_panniculatus,Diplusodon_panniculatus,Diplusodon panniculatus Koehne,NA*,NA*,,JN701279.1,JN701221.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_paraisoensis,Diplusodon_paraisoensis,Diplusodon paraisoensis Lourteig,NA*,NA*,,JN701296.1,JN701235.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_parvifolius,Diplusodon_parvifolius,Diplusodon parvifolius Mart. ex DC.,NA*,NA*,,KF471228.1,KF471182.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_petiolatus,Diplusodon_petiolatus,Diplusodon petiolatus T.B.Cavalc.,NA*,NA*,,JN701264.1,JN701206.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_plumbeus,Diplusodon_plumbeus,Diplusodon plumbeus T.B.Cavalc.,NA*,NA*,,JN701254.1,JN701196.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_puberulus,Diplusodon_puberulus,Diplusodon puberulus Koehne,NA*,NA*,,KF471216.1,KF471170.1,,Inglis & Cavalcanti 2018,,1,1
Diplusodon_punctatus,Diplusodon_punctatus,Diplusodon punctatus Pohl,NA*,NA*,,JN701294.1,JN701233.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_punctatus_var_punctatus,Diplusodon_punctatus_var_punctatus,Diplusodon punctatus Pohl,NA*,NA*,,JN701256.1,JN701198.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_pygmaeus,Diplusodon_pygmaeus,Diplusodon pygmaeus T.B.Cavalc.,NA*,NA*,,,KF471169.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_quintuplinervius,Diplusodon_quintuplinervius,Diplusodon quintuplinervius (Nees) Koehne,NA*,NA*,,JN701248.1,JN701245.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_ramosissimus,Diplusodon_ramosissimus,Diplusodon ramosissimus Pohl,NA*,NA*,,JN701259.1,JN701200.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_retroimbricatus,Diplusodon_retroimbricatus,Diplusodon retroimbricatus Koehne,NA*,NA*,,KF471208.1,KF471161.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_rosmarinifolius,Diplusodon_rosmarinifolius,Diplusodon rosmarinifolius A.St.-Hil.,NA*,NA*,,KF471201.1,KF471153.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_rotatus,Diplusodon_rotatus,,NA*,NA*,,KY321376.1,KY321380.1,,Inglis & Cavalcanti 2018,,0,1
Diplusodon_rotundifolius,Diplusodon_rotundifolius,Diplusodon rotundifolius DC.,NA*,NA*,,KF471214.1,KF471167.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_rupestris,Diplusodon_rupestris,Diplusodon rupestris T.B.Cavalc.,NA*,NA*,,KF471213.1,KF471166.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_sessiliflorus,Diplusodon_sessiliflorus,Diplusodon sessiliflorus Koehne,NA*,NA*,,KF471197.1,KF471232.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_sigillatus,Diplusodon_sigillatus,Diplusodon sigillatus Lourteig,NA*,NA*,,JN701288.1,JN701228.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_sordidus,Diplusodon_sordidus,Diplusodon sordidus Koehne,NA*,NA*,,JN701287.1,JN701227.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_speciosus,Diplusodon_speciosus,Diplusodon speciosus (Kunth) DC.,NA*,NA*,,JN701272.1,JN701214.1,,Inglis & Cavalcanti 2018,,1,1
Diplusodon_strigosus,Diplusodon_strigosus,Diplusodon strigosus Pohl,NA*,NA*,,JN701297.1,JN701236.1,,Inglis & Cavalcanti 2018,,1,1
Diplusodon_subsericeus,Diplusodon_subsericeus,Diplusodon subsericeus Casar. ex Koehne,NA*,NA*,,KY321377.1,KY321381.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_thymifolius,Diplusodon_thymifolius,Diplusodon thymifolius Mart. ex DC.,NA*,NA*,,JN701255.1,JN701197.1,,Inglis & Cavalcanti 2018,,0,1
Diplusodon_ulei_var_ciliatus,Diplusodon_ulei_var_ciliatus,Diplusodon ulei Koehne,NA*,NA*,,KF471210.1,KF471164.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_ulei_var_ulei,Diplusodon_ulei_var_ulei,Diplusodon ulei Koehne,NA*,NA*,,KF471212.1,KF471165.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_uninervius,Diplusodon_uninervius,Diplusodon uninervius Koehne,NA*,NA*,,JN701273.1,JN701215.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_urceolatus,Diplusodon_urceolatus,Diplusodon leucocalycinus Lourteig,NA*,NA*,,KF494258.1,KF471139.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_vidalii,Diplusodon_vidalii,Diplusodon vidalii Lourteig,NA*,NA*,,JN701276.1,JN701218.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_villosissimus,Diplusodon_villosissimus,Diplusodon villosissimus Pohl,NA*,NA*,,KF471209.1,KF471163.1,,Inglis & Cavalcanti 2018,,1,1
Diplusodon_villosus,Diplusodon_villosus,Diplusodon villosus Pohl,NA*,NA*,,JN701306.1,JN701241.1,,Inglis & Cavalcanti 2018,,1,0
Diplusodon_virgatus,Diplusodon_virgatus,Diplusodon virgatus Pohl,NA*,NA*,,JN701285.1,JN701239.1,,Inglis & Cavalcanti 2018,,1,1
Diplusodon_xerophilus,Diplusodon_xerophilus,,NA*,NA*,,JN701289.1,JN701229.1,,Inglis & Cavalcanti 2018,,1,0
Heimia_apetala,Heimia_apetala,Heimia apetala (Spreng.) S.A.Graham & Gandhi,(outgroup),(outgroup),,JN701281.1,JN701189.1,,Inglis & Cavalcanti 2018,,0,1
Lafoensia_nummularifolia,Lafoensia_nummularifolia,Lafoensia nummularifolia A.St.-Hil.,(outgroup),(outgroup),,KF494261.1,KF471143.1,,Inglis & Cavalcanti 2018,,0,1
Lafoensia_pacari,Lafoensia_pacari,Lafoensia pacari A.St.-Hil.,(outgroup),(outgroup),,JN701292.1,JN701190.1,,Inglis & Cavalcanti 2018,,1,1
Lourtella_resinosa,Lourtella_resinosa,"Lourtella resinosa S.A. Graham, Baas & Tobe",(outgroup),(outgroup),,KF471204.1,KF471156.1,,Inglis & Cavalcanti 2018,,0,1
Lythrum_hyssopifolia,Lythrum_hyssopifolia,Lythrum hyssopifolia L.,(outgroup),(outgroup),,AY905428.1,KF471144.1,,Inglis & Cavalcanti 2018,,0,1
Physocalymma_scaberrimum,Physocalymma_scaberrimum,Physocalymma scaberrimum Pohl,(outgroup),(outgroup),,KF471203.1,KF471155.1,,Inglis & Cavalcanti 2018,,1,1
Pleurophora_saccocarpa,Pleurophora_saccocarpa,Pleurophora saccocarpa Koehne,(outgroup),(outgroup),,KF494262.1,KF494263.1,,Inglis & Cavalcanti 2018,,0,1
Punica_granatum,Punica_granatum,Punica granatum L.,(outgroup),(outgroup),,JX121275.1,,,Inglis & Cavalcanti 2018,,0,1
Rotala_ramosior,Rotala_ramosior,Rotala ramosior (L.) Koehne,(outgroup),(outgroup),,KF494260.1,KF471141.1,,Inglis & Cavalcanti 2018,,0,1
Woodfordia_fruticosa,Woodfordia_fruticosa,Woodfordia fruticosa (L.) Kurz,(outgroup),(outgroup),,AF420222.1,KF471157.1,,Inglis & Cavalcanti 2018,,0,1
,,,,,,,,,,,,
,,,* Global sampling fraction of 0.78 was used for Diplusodon,,,,,,,,,
