,cr,nonCr,Single_trait
Mimosa_oedoclada,1,0,2
Mimosa_setosissima,1,0,2
Mimosa_foliolosa_brevibractea,1,0,2
Mimosa_densa_alligantina,1,0,2
Mimosa_claussenii_prorsiseta,1,0,2
Mimosa_manidea,1,0,2
Mimosa_ulei_grallator,1,0,2
Mimosa_foliolosa_paranani,1,0,2
Mimosa_lithoreas,1,0,2
Mimosa_rheiptera,1,0,2
Mimosa_decorticans,1,1,1
Mimosa_ulei_ulei,1,0,2
Mimosa_rhodostegia,1,0,2
Mimosa_tocantina,1,0,2
Mimosa_nitens,1,0,2
Mimosa_foliolosa_pubescens,1,0,2
Mimosa_stylosa,1,0,2
Mimosa_splendida,1,0,2
Mimosa_viperina,1,0,2
Mimosa_heringeri,1,0,2
Mimosa_cryptothamnos,1,0,2
Mimosa_claussenii_microphyllidia,1,0,2
Mimosa_claussenii_megistophylla,1,0,2
Mimosa_foliolosa_peregrina,1,0,2
Mimosa_melanocarpa,1,1,1
Mimosa_dominarum,1,0,2
Mimosa_foliolosa_franciscana,1,0,2
Mimosa_regina,1,0,2
Mimosa_densa_densa,1,0,2
Mimosa_antrorsa,1,0,2
Mimosa_foliolosa_vernicosa,1,0,2
Mimosa_laniceps,1,0,2
Mimosa_claussenii_claviceps,1,0,2
Mimosa_oligosperma,1,0,2
Mimosa_chiliomera,1,0,2
Mimosa_maguirei,1,0,2
Mimosa_acroconica,1,0,2
Mimosa_bispiculata,1,0,2
Mimosa_setosa_paludosa,1,1,1
Mimosa_myrioglandulosa,1,0,2
Mimosa_foliolosa_foliolosa,1,0,2
Mimosa_diminuta,1,0,2
Mimosa_kalunga,1,0,2
Mimosa_setosa_nitens,1,0,2
Mimosa_foliolosa_grandibractea,1,0,2
Mimosa_setosa_granitica,1,0,2
Mimosa_sp1,1,0,2
Mimosa_leiocephala,1,0,2
Mimosa_foliolosa_pachycarpa,1,0,2
Mimosa_claussenii,1,1,1
Mimosa_caliciadenia,1,0,2
Mimosa_adenotricha,1,0,2
Mimosa_humivagans,1,0,2
Mimosa_prorepens,1,0,2
Mimosa_foliolosa_foederalis,1,0,2
Mimosa_setosa_urbana,1,0,2
Mimosa_speciosissima,1,0,2
Mimosa_setosa_urbica,1,0,2
Mimosa_albolanata_brasiliana,1,0,2
Mimosa_albolanata_paucipinna,1,1,1
Mimosa_setosa_setosa,1,1,1
Mimosa_accedens,1,0,2
Mimosa_pigra_dehiscens,1,1,1
Mimosa_weddelliana,1,1,1
Mimosa_lewisii,1,1,1
Mimosa_nothopteris,1,0,2
Mimosa_adenophylla_adenophylla,1,1,1
Mimosa_pteridifolia,1,1,1
Mimosa_gemmulata_gemmulata,1,1,1
Mimosa_verrucosa,1,1,1
Mimosa_tenuiflora,1,1,1
Mimosa_brachycarpa,1,1,1
Mimosa_somnians_lasiocarpa,1,1,1
Mimosa_somnambulans,1,0,2
Mimosa_somnians_viscida,1,1,1
Mimosa_somnians_velascoensis,1,1,1
Mimosa_poculata,1,1,1
Mimosa_adenocarpa,1,1,1
Mimosa_aurivillus_aurivillus,1,0,2
Mimosa_aurivillus,1,0,2
Mimosa_parviceps,1,0,2
Mimosa_dolens_dolens,1,0,2
Mimosa_dolens_rigida,1,1,1
Mimosa_adamantina_adamantina,1,0,2
Mimosa_myriophylla,1,1,1
Mimosa_mogolensis,1,0,2
Mimosa_calothamnus_calothamnus,1,0,2
Mimosa_leprosa_parviceps,1,0,2
Mimosa_aurivillus_calothamnus,1,0,2
Mimosa_caracensis,1,0,2
Mimosa_chrysastra,1,0,2
Mimosa_macedoana,1,0,2
Mimosa_debilis_debilis,1,1,1
Mimosa_nuda,1,1,1
Mimosa_velloziana_velloziana,1,1,1
Mimosa_sensitiva,1,1,1
Mimosa_xanthocentra_tremula,1,1,1
Mimosa_xanthocentra_subsericea,1,1,1
Mimosa_verecunda,1,0,2
Mimosa_rufipila,1,1,1
Mimosa_procurrens,1,0,2
Mimosa_sp8,1,0,2
Mimosa_discobola,1,1,1
Mimosa_pseudoradula,1,0,2
Mimosa_hypoglauca_hypoglauca,1,0,2
Mimosa_papposa,1,0,2
